runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12,in13,in14
692,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,0,0
651,0,2000,1250,0.01,-360,-330,-360,-330,50,75,50,80,0,5
163,800,1200,1050,0.01,-360,-330,-360,-330,50,80,60,80,0,0
606,0,2000,1250,0.01,-300,-240,-200,-150,50,100,10,56,30,20
413,200,1500,500,0.01,-360,-330,-360,-330,50,80,60,80,30000,20000
589,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,10,10
649,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,0,0
591,0,2000,1295,0.01,-360,-330,-360,-330,50,80,60,80,0,0
688,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,70,0,-50
621,0,2000,1250,0.01,-400,-376,-380,-340,60,80,40,80,15,10
698,0,2000,1200,0.01,-360,-330,-360,-330,50,80,60,80,30,20
791,0,2000,1250,0.01,-360,-330,-360,-330,50,80,70,90,0,0
694,0,2000,900,0.01,-360,-330,-360,-330,50,80,60,80,0,0
576,300,2000,1400,0.01,-360,-330,-360,-330,50,80,60,80,15,0
647,0,2000,1250,0.01,-360,-330,-360,-330,50,75,50,80,0,20
722,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,40,0
613,0,2000,1800,0.01,-360,-330,-360,-330,50,80,60,80,0,0
614,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,50,0
630,0,2000,1250,0.01,-360,-330,-360,-330,60,80,50,80,30,20
643,0,2000,1100,0.01,-360,-330,-360,-330,55,80,50,80,10,-2
669,0,2000,1250,0.01,-12,-12,-10,-10,10,10,10,10,15,0
651,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,0,0
740,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,0,0
667,0,2000,1250,0.01,-360,-330,-360,-330,50,75,50,80,15,15
652,0,2000,1500,0.01,-360,-330,-360,-330,50,80,50,70,0,0
747,0,2000,1250,0.01,-360,-324,-360,-330,50,80,40,70,15,0
717,0,2000,1250,0.01,-360,-330,-354,-330,50,80,60,80,0,-20
710,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,-30,0
812,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,0,0
724,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,30,-30
628,0,2000,1100,0.01,-366,-330,-340,-330,50,80,60,80,-1,-2
690,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,0,0
741,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,40,30
654,0,2000,1250,0.01,-360,-330,-360,-330,50,75,50,80,19,19
686,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,0,0
761,0,2000,1000,0.01,-360,-330,-360,-330,50,80,60,80,0,0
641,0,2000,1250,0.01,-360,-330,-354,-330,50,80,60,80,-10,-20
772,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,0,0
678,0,2000,1250,0.01,-366,-330,-346,-330,50,80,50,70,0,0
3,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,0,0
568,0,2000,500,0.01,-260,-235,-600,-595,60,78,27,30,20,0
629,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,0,1500
640,0,2000,200,0.01,-360,-330,-360,-330,50,80,60,80,0,0
685,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,0,0
707,0,2000,1100,0.01,-366,-330,-350,-330,50,80,60,80,10,10
596,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,0,0
799,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,-1,1
599,0,2000,1100,0.01,-360,-330,-360,-330,50,75,50,80,30,0
745,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,20,-20
855,0,2000,1250,0.01,-360,-330,-360,-330,60,85,50,80,40,20
598,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,0,0
581,300,2000,1000,0.01,-360,-330,-360,-330,50,80,60,80,30,20
692,0,2000,1450,0.01,-360,-330,-360,-330,50,80,60,80,0,0
594,0,2000,500,0.01,-360,-330,-360,-330,50,80,60,80,0,0
711,0,2000,1250,0.01,-602,-557,-635,-557,50,80,40,80,30,20
711,0,2000,1200,0.01,-360,-330,-354,-330,50,80,60,80,20,-10
636,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,0,-20000
646,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,5,0
672,0,2000,300,0.01,-360,-330,-360,-330,50,80,60,80,0,0
645,0,2000,1500,0.01,-360,-330,-360,-330,50,80,60,80,0,0
3,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,0,0
699,0,2000,1250,0.01,-640,-550,-600,-550,40,80,50,80,30,20
724,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,70,30,-20
630,0,2000,600,0.01,-360,-324,-360,-340,50,80,50,70,2000,1950
633,0,2000,800,0.01,-360,-330,-360,-330,50,80,60,80,0,0
615,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,0,0
812,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,70,20
723,0,2000,1250,0.01,-366,-330,-360,-330,50,80,50,80,20,25
647,0,2000,1100,0.01,-60,-96,-60,-80,50,80,60,80,15,-15
745,0,2000,1100,0.01,-366,-330,-350,-330,50,80,60,80,30,-20
661,0,2000,1250,0.01,-374,-350,-360,-330,50,70,50,80,31,10
724,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,90,15,12
621,0,2000,1100,0.01,-300,-270,-360,-330,40,65,50,80,10,-5
774,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,30,20
704,0,2000,1250,0.01,-360,-330,-360,-330,65,80,50,80,0,-20
601,0,2000,1250,0.01,-366,-320,-360,-330,50,80,50,80,15,-10
696,0,2000,750,0.01,-360,-330,-360,-330,50,80,60,80,20,-30
549,300,2000,400,0.01,-360,-330,-360,-330,50,80,60,80,15,0
602,0,2000,700,0.01,-360,-330,-360,-330,55,80,60,80,15,0
645,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,0,0
607,0,2000,1250,0.01,-360,-330,-360,-330,50,80,55,80,0,20
653,0,2000,1750,0.01,-360,-330,-360,-330,50,80,60,80,0,0
609,0,2000,900,0.01,-360,-330,-360,-330,50,80,60,80,0,0
705,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,0,0
696,0,2000,1600,0.01,-360,-330,-360,-330,50,80,60,80,0,0
713,0,2000,1250,0.01,-336,-330,-350,-330,50,80,60,80,10,10
728,0,2000,1900,0.01,-360,-330,-360,-330,50,80,60,80,0,0
708,0,2000,1000,0.01,-360,-330,-360,-330,70,80,60,80,20,-20
591,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,30,20
610,0,2000,1250,0.01,-400,-340,-400,-340,40,90,40,100,25,60
670,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,1500,0
600,0,2000,1000,0.01,50,100,30,100,50,30,40,30,0,100
736,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,0,0
1120,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,30,20
6,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,0,0
663,0,2000,1650,0.01,-360,-330,-360,-330,50,80,60,80,0,0
656,0,2000,1250,0.01,-360,-330,-354,-330,50,80,60,80,-10,-20
626,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,30,20
768,0,2000,1250,0.01,-366,-330,-350,-330,50,80,50,70,50,30
684,0,2000,1250,0.01,-360,-330,-360,-330,50,75,50,80,10,10
650,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,30,0
765,0,2000,1250,0.01,-374,-350,-360,-330,50,70,50,80,21,20
629,0,2000,1250,0.01,-374,-350,-360,-330,50,70,50,80,10,5
759,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,30,20
643,0,2000,2000,0.01,-360,-330,-360,-330,50,80,50,70,0,0
674,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,10,20
617,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,25,0
625,0,2000,1250,0.01,0,-330,-330,0,50,80,50,70,-360,0
692,0,2000,700,0.01,-360,-330,-360,-330,50,80,60,80,0,0
823,0,2000,700,0.01,-360,-330,-360,-330,60,80,50,80,30,-20
592,0,2000,1250,0.01,-540,-495,-180,-165,50,80,50,70,40,30
847,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,-100,0
743,0,2000,1250,0.01,-374,-350,-360,-330,50,70,50,80,27,20
404,300,1600,1000,0.01,-360,-330,-360,-330,50,80,60,80,30,-5
643,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,20,30
710,0,2000,1250,0.01,-360,-330,-360,-330,50,75,60,90,30,0
650,0,2000,1800,0.01,-360,-330,-360,-330,50,80,60,80,0,0
621,0,2000,750,0.01,-360,-330,-360,-330,50,80,60,80,0,0
418,200,1500,1200,0.01,-360,-330,-360,-330,50,80,60,80,30000,20000
619,0,2000,1250,0.01,-360,-330,-360,-330,50,75,60,90,30,-20
622,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,30,20
788,0,2000,750,0.01,-360,-330,-360,-330,50,80,60,80,10,0
766,0,2000,1000,0.01,-360,-330,-360,-330,70,90,60,90,50,-50
687,0,2000,800,0.01,-360,-330,-360,-330,55,80,60,80,20,-10
698,0,2000,1000,0.01,-360,-330,-360,-330,50,80,60,80,30,20
684,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,0,0
734,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,30,20
664,0,2000,1250,0.01,-360,-330,-360,-330,50,75,50,80,0,-5
646,0,2000,1250,0.01,-360,-330,-360,-330,55,80,50,80,15000,0
558,300,2000,1400,0.01,-360,-330,-360,-330,50,80,60,80,30,20
622,0,2000,1100,0.01,-366,-330,-340,-330,50,80,60,80,8,-2
