runtime,in01,in02,in03,in04,in05,in06,in07
12,48.4,1.5,0.8,0.0015,0.0001,1,0
285,55,1.5,0.8,0.0015,0,1,0
291,138.5,1.5,0.8,0.0015,0,1,0
231,96.73,1.5,0.8,0.0015,0.001,1,0
270,30.8,1.5,0.8,0.0015,0.001,1,0
5,96,1.5,0.8,0.0015,0.001,1,0
236,23.09401077,1.5,0.8,0.0015,0,5,0
244,50.236,1.5,0.8,0.0015,0.002,1,0
219,43,1.5,0.8,0.0015,0,1,0
375,47.5,1.5,0.8,0.0015,0.002,1,0
240,20.68421053,1,1,0.0015,0,1,0
403,48.4,1.5,0.8,0.0015,0,1,0
217,96.7375,1.5,0.8,0.0015,0,1,0
263,49.6,1.5,0.8,0.0015,0.005,1,0
303,148,1.5,0.8,0.0015,0,1,0
4,48.5,1.5,0.8,0.0015,0.001,1,0
264,145.11,1.5,0.8,0.0015,0,1,0
244,14.4,1.5,0.8,0.0015,0.005,1,0
326,105.2631579,1.5,0.8,0.0015,0.001,1,0
329,48.37,1.5,0.8,0.0015,0.001,1,0
260,48.35684211,1.5,0.8,0.0015,0,1,0
221,49.2,1.5,0.8,0.0015,0.001,1,0
236,49.3,1.5,0.8,0.0015,0,1,0
274,48.4,1.5,0.8,0.0015,0.003,1,0
343,48.36752632,1.5,0.8,0.0015,0,1,0
247,120,1.5,0.8,0.0015,0,1,0
3,147.9736842,1.5,0.8,0.0015,0.001,1,0
236,23.08526316,1.5,0.8,0.0015,0,1,0
307,40,1.5,0.8,0.0015,0.001,1,0
311,58.94736842,1.5,0.8,0.0015,0.002,1,0
259,48.25,1.5,0.8,0.0015,0.005,1,0
341,46.18802154,1.5,0.8,0.0015,0,1,0
3,96,1.5,0.8,0.0015,0,1,0
220,50,1.5,0.8,0.0015,0.001,1,0
271,48.3701,1.5,0.8,0.0015,0,1,0
271,96,1.5,0.8,0.0015,0,1,0
328,75,9,0.8,0.0015,0,1,0
241,47.05263158,1.5,0.8,0.0015,0.001,1,0
223,96.11052632,1.5,0.8,0.0015,0.001,1,0
256,48.3,1.5,0.8,0.0015,0,1,0
250,42.8,1,1,0.0015,0,1,0
4,15.396,1.5,0.8,0.0015,0,1,0
271,48.84421053,1.5,0.8,0.0015,0.001,1,0
229,31.57894737,1.5,0.8,0.0015,0.001,1,0
255,49.5,1.5,0.8,0.0015,0.005,1,0
252,29.73684211,1.5,0.8,0.0015,0,1,0
247,40,1.5,0.8,0.0015,0,1,0
245,58.68789474,1.5,0.8,0.0015,0,1,0
240,48.94736842,1.5,0.8,0.0015,0.001,1,0
329,45,1.5,0.8,0.0015,0,10,0
263,46.75,1.5,0.8,0.0015,0.001,1,0
252,48.355,1.5,0.8,0.0015,0.002,1,0
303,46.57894737,1.5,0.8,0.0015,0.00125,1,0
320,46.9,1.5,0.8,0.0015,0.001,1,0
239,48.37,1,0.8,0.0015,0,1,0
5,48.8,1.5,0.8,0.0015,0.001,1,0
261,100,1.5,0.8,0.0015,0,1,0
7,50,1.5,0.8,0.0015,0.002,1,0
240,48.3621516,1.5,0.8,0.0015,0.001,1,0
320,146.2,1,1,0.0015,0,1,0
312,97,1.5,0.8,0.0015,0,1,0
284,48.36272222,1.5,0.8,0.0015,0.001,1,0
330,24.8,1.5,0.8,0.003,0,1,0
240,46.4,1.5,0.8,0.0015,0.001,1,0
244,170,1.5,0.8,0.0015,0.001,1,0
230,50.09,1.5,0.8,0.0015,0.002,1,0
331,90,1.5,0.8,0.0015,0.002,1,0
301,44.8,1.5,0.8,0.0015,0.003,1,0
222,30,1.5,0.8,0.0015,0.001,1,0
254,57.5,1.5,0.8,0.0015,0.0005,1,0
293,48.935,1.5,0.8,0.0015,0.001,1,0
225,145.1,1.5,0.8,0.0015,0,1,0
239,50.85,1.5,0.8,0.0015,0,1,0
347,46.36798305,1.5,0.8,0.0015,0.001,1,0
