runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19
289,A04,0.0034,155719,0.000001,3000,30,1,1,1,10,10,10,10,10,10,10,10,10,10
439,A04,0.2,3000000,0.000001,3000,3,1,1,1,14,0,0,0,0,0,0,0,0,0
386,A06,0.2,3000000,0.000001,3000,3,1,1,1,0,2,4,6,8,10,12,14,16,0
1827,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
9223,A11,0.39,390000,0.00001,50000,3,1,4,10,0,1,2,3,4,5,6,7,8,9
3223,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,18
5723,A04,0.2,3,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
305,A04,0.2,3000000,0.000001,3000,3,1,1,1,-30,-25,-20,-10,0,0,10,20,25,30
34777,A07,0.0588,40166,0.0000001,50000,30,1,1,8,0,5,10,15,20,25,30,35,0,0
919,A04,0.2,30000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
12632,A06,0.15,120000,0.00001,50000,3,1,4,10,0,1,2,3,4,5,6,7,8,9
16375,A05,0.2,3000000,0.000001,30000,3,1,1,10,1,2,3,4,5,6,7,8,9,10
10439,A04,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
396,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,2,4,6,8,10,12,14,16,0
806,A09,0.2,3000000,0.000001,3000,3,1,1,5,0,2,4,6,8,0,0,0,0,0
2743,A04,0.2,3000000,0.000001,3000,3,1,1,8,-10,-5,0,5,10,15,20,25,0,0
416,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
1194,A06,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
2,A04,2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
361,A04,0.2,3000000,0.000001,3000,3,1,1,1,4,0,0,0,0,0,0,0,0,0
121,A04,0.2,3000000,0.000001,3000,3,1,1,1,6,0,0,0,0,0,0,0,0,0
23022,A04,0.2,3000000,0.000001,30000,3,1,1,10,1,2,3,4,0,0,0,0,0,0
21226,A05,0.2,3000000,0.000001,30000,3,1,1,10,0,1,2,3,4,0,0,0,0,0
11100,A05,0.2,3000000,0.000001,30000,3,1,1,1,1,2,3,0,0,0,0,0,0,0
11998,A06,0.2,240000,0.00001,50000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
2703,A04,0.3,3000000,0.000001,3000,3,1,1,8,-10,-5,0,5,10,15,20,25,0,0
433,A06,0.2,3000000,0.000001,3000,3,1,1,1,4,0,0,0,0,0,0,0,0,0
6449,A03,0.4,2080000,0.000001,50000,30,1,1,1,0,5,10,15,20,25,30,35,40,45
4949,A04,0.2,3000000,0.000001,50000,3,1,1,1,0,2,4,6,8,10,12,14,15,16
268,A03,0.0034,155719,0.000001,3000,30,1,1,1,20,20,20,20,20,20,20,20,20,20
17542,A09,0.26,260000,0.00001,50000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
18714,A06,0.04,40000,0.00001,50000,60,1,4,10,3,7,18,20,22,25,30,35,40,45
292,A12,0.0034,155719,0.000001,3000,30,1,1,1,0,0,0,0,0,0,0,0,0,0
2300,A04,0.2,3000000,0.000001,50000,3,1,1,1,14,0,0,0,0,0,0,0,0,0
9377,A06,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
14417,A06,0.25,200000,0.00001,50000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
126,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
133,A05,0.2,80000,0.000001,3000,3,1,1,1,3,5,7,9,11,13,15,17,19,21
12712,A06,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
127,A12,0.11,2400,0.000001,3000,30,1,1,1,0,0,0,0,0,0,0,0,0,0
8511,A06,0.3,300000,0.00001,60000,3,1,4,10,0,1,2,3,4,5,6,7,8,9
9865,A11,0.2,3000000,0.000001,3000,3,1,1,5,0,8,16,24,32,40,0,0,0,0
122,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
397,A01,2,300,0.000001,3000,30,1,5,3,0,5,10,15,20,25,30,35,40,45
18627,A06,0.04,40000,0.00001,50000,10,1,4,10,3,7,18,20,22,25,30,35,40,45
250,A04,0.0034,155719,0.000001,3000,30,1,1,1,0,0,0,0,0,0,0,0,0,0
354,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,2,4,6,8,10,12,14,16,0
80672,A04,0.2,3000000,0.000001,50000,3,1,1,10,0,2,4,6,8,10,12,14,16,0
249,A07,0.0034,155719,0.000001,3000,30,1,1,1,10,10,10,10,10,10,10,10,10,10
475,A04,0.2,3000000,0.000001,3000,3,1,1,1,8,0,0,0,0,0,0,0,0,0
4607,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
17522,A04,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
69231,A04,0.2,3000000,0.000001,50000,3,1,1,10,0,2,4,6,8,10,12,14,16,0
382,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
11579,A01,0.3,300000,0.00001,60000,3,1,4,10,0,1,2,3,4,5,6,7,8,9
18503,A06,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
1547,A04,0.8,3000000,0.000001,30000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
129,A07,0.2,3000000,0.000001,3000,3,1,1,1,5,10,15,20,35,40,45,50,55,60
140,A04,0.0034,155719,0.000001,3000,30,1,1,1,0,0,0,0,0,0,0,0,0,0
427,A04,0.2,3000000,0.000001,3000,3,1,1,1,-2,-1,-0.5,0,0.5,1,2,3,4,2.5
2619,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
27166,A06,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
460,A04,0.0588,40166,0.000001,1000,30,1,1,8,0,5,10,15,20,25,30,35,0,0
135,A06,0.2,3000000,0.000001,3000,3,1,1,1,20,20,20,20,20,20,20,20,20,20
502,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
168,A07,0.0034,155719,0.000001,3000,30,1,1,1,30,30,0,0,0,0,0,0,0,0
2230,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
19142,A11,0.39,390000,0.00001,50000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
2590,A04,0.6,1000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
4899,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
52710,A04,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
13713,A06,0.04,40000,0.00001,50000,3,1,4,10,13,15,17,19,21,23,27.5,32.5,37.5,42.5
8,A06,0.8,3000000,0.000001,3000,30,1,3,9,50,55,60,65,70,75,80,85,90,0
2677,A04,0.2,3000000,0.000001,5000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
14414,A09,0.5,500000,0.00001,30000,3,1,4,10,-2,0,2,4,6,8,10,12,14,16
194,A06,0.2,3000000,0.000001,3000,3,1,1,1,0,1,2,3,4,5,6,7,8,9
3667,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
176,A06,0.2,155719,0.000001,3000,30,1,1,1,30,30,30,30,30,30,30,30,30,30
214,A04,0.2,3000000,0.000001,3000,3,1,1,1,2,4,6,8,10,12,14,16,18,20
34029,A06,0.13,130000,0.00001,60000,60,1,4,10,20,22,24,26,29,32,35,38,41,45
282,A07,0.0034,155719,0.000001,3000,30,1,1,1,20,20,20,20,20,20,20,20,20,20
43609,A04,0.5,5000000,0.00001,10000,3,1,1,10,-8,-6,-4,-2,0,2,4,6,8,10
64048,A06,0.04,40000,0.00001,50000,60,5,4,10,3,7,18,20,22,25,30,35,40,45
119,A04,0.11,2400,0.000001,3000,30,1,1,1,0,0,0,0,0,0,0,0,0,0
122,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
29948,A04,0.2,3000000,0.000001,30000,3,1,1,10,1,2,3,4,5,6,0,0,0,0
268,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
23588,A06,0.2,3000000,0.000001,30000,3,1,1,10,0,2,4,6,8,10,12,14,16,0
1544,A06,0.04,40000,0.00001,50000,10,1,4,1,11,13,15,17,19,21,23,27.5,32.5,37.5
20741,A06,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
20109,A05,0.2,3000000,0.000001,30000,3,1,1,10,1,2,3,4,0,0,0,0,0,0
19280,A06,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
22297,A04,0.2,3000000,0.000001,30000,3,1,1,10,1,2,3,4,5,0,0,0,0,0
207,A04,0.0034,155719,0.000001,3000,30,1,1,1,20,20,20,20,20,20,20,20,20,20
6272,A04,0.2,3000000,0.000001,3000,3,1,1,10,0,2,4,6,8,10,12,14,16,0
125,A04,0.2,3000000,0.000001,3000,3,1,1,1,4,0,0,0,0,0,0,0,0,0
353,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,2,4,6,8,10,12,14,16,0
12262,A06,0.15,180000,0.00001,30000,3,1,4,10,-1,1,2,3,4,5,6,7,8,9
17574,A06,0.35,350000,0.00001,30000,3,1,4,10,-2,0,2,4,6,8,10,12,14,16
12730,A04,0.65,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
12021,A06,0.1,120000,0.00001,30000,3,1,4,10,-1,1,2,3,4,5,6,7,8,9
1519,A06,0.1386,78540,0.000001,3000,3,1,2,10,1,2,3,4,5,6,7,8,9,10
18021,A06,0.4,400000,0.00001,30000,3,1,4,10,-2,0,2,4,6,8,10,12,14,16
3,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
14884,A11,0.25,250000,0.00001,30000,3,1,4,10,-2,0,2,4,6,8,10,12,14,16
23993,A06,0.1,120000,0.00001,30000,3,1,4,10,-1,10,11,12,13,14,15,16,17,18
2,A04,0.2,3000000,0.000001,3000,3,1,1,2,0,2,0,0,0,0,0,0,0,0
22839,A06,0.15,120000,0.00001,30000,3,1,4,10,-1,10,11,12,13,14,15,16,17,18
23286,A06,0.25,200000,0.00001,30000,3,1,4,10,-1,10,11,12,13,14,15,16,17,18
16349,A11,0.4,400000,0.00001,30000,3,1,4,10,-2,0,2,4,6,8,10,12,14,16
12174,A09,0.15,150000,0.00001,30000,3,1,4,10,-2,0,2,4,6,8,10,12,14,16
21566,A06,0.25,300000,0.00001,30000,3,1,4,10,-1,10,11,12,13,14,15,16,17,18
1304,A06,0.3292,186532,0.000001,3000,3,1,2,10,1,2,3,4,5,6,7,8,9,10
1403,A06,0.2772,157080,0.000001,3000,3,1,2,10,1,2,3,4,5,6,7,8,9,10
1461,A06,0.2425,137445,0.000001,3000,3,1,2,10,1,2,3,4,5,6,7,8,9,10
4,A04,0.2,3000000,0.000001,3000,3,1,1,2,0,2,0,0,0,0,0,0,0,0
13671,A09,0.25,250000,0.00001,30000,3,1,4,10,-2,0,2,4,6,8,10,12,14,16
14344,A09,0.2,200000,0.00001,30000,3,1,4,10,-2,0,2,4,6,8,10,12,14,16
1497,A06,0.2599,147262,0.000001,3000,3,1,2,10,1,2,3,4,5,6,7,8,9,10
24736,A06,0.3,240000,0.00001,30000,3,1,4,10,-1,10,11,12,13,14,15,16,17,18
230,A04,0.4,400000,0.00001,30000,3,1,4,10,-2,0,2,4,6,8,10,12,14,16
2,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
9008,A06,0.45,450000,0.00001,30000,3,1,4,10,-2,0,2,4,6,8,10,12,14,16
22734,A06,0.2,160000,0.00001,30000,3,1,4,10,-1,10,11,12,13,14,15,16,17,18
1405,A06,0.1039,58905,0.000001,3000,3,1,2,10,1,2,3,4,5,6,7,8,9,10
14642,A06,0.2,160000,0.00001,30000,3,1,4,10,-1,1,2,3,4,5,6,7,8,9
25128,A06,0.35,280000,0.00001,30000,3,1,4,10,-1,10,11,12,13,14,15,16,17,18
14392,A06,0.25,250000,0.00001,30000,3,1,4,10,-2,0,2,4,6,8,10,12,14,16
22452,A06,0.15,180000,0.00001,30000,3,1,4,10,-1,10,11,12,13,14,15,16,17,18
11328,A06,0.25,300000,0.00001,30000,3,1,4,10,-1,1,2,3,4,5,6,7,8,9
1532,A06,0.2945,166897,0.000001,3000,3,1,2,10,1,2,3,4,5,6,7,8,9,10
4,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
16361,A04,0.65,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
19390,A06,0.35,280000,0.00001,30000,3,1,4,10,-1,1,2,3,4,5,6,7,8,9
17704,A06,0.3,240000,0.00001,30000,3,1,4,10,-1,1,2,3,4,5,6,7,8,9
1632,A06,0.2252,127627,0.000001,3000,3,1,2,10,1,2,3,4,5,6,7,8,9,10
1453,A06,0.3465,196350,0.000001,3000,3,1,2,10,1,2,3,4,5,6,7,8,9,10
13218,A06,0.15,120000,0.00001,30000,3,1,4,10,-1,1,2,3,4,5,6,7,8,9
407,A04,0.35,3000000,0.000001,3000,3,1,1,8,-10,-5,0,5,10,15,20,25,0,0
15177,A09,0.4,400000,0.00001,30000,3,1,4,10,-2,0,2,4,6,8,10,12,14,16
5,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
4,A04,0.2,3000000,0.000001,3000,3,1,1,2,0,2,0,0,0,0,0,0,0,0
1548,A06,0.3118,176715,0.000001,3000,3,1,2,10,1,2,3,4,5,6,7,8,9,10
16254,A06,0.25,200000,0.00001,30000,3,1,4,10,-1,1,2,3,4,5,6,7,8,9
1547,A06,0.2079,117810,0.000001,3000,3,1,2,10,1,2,3,4,5,6,7,8,9,10
13062,A06,0.2,240000,0.00001,30000,3,1,4,10,-1,1,2,3,4,5,6,7,8,9
1,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
1794,A04,0.47,2000000,0.000001,3000,3,1,2,10,-4,-2,0,2,4,6,8,10,12,14
16045,A11,0.35,350000,0.00001,30000,3,1,4,10,-2,0,2,4,6,8,10,12,14,16
11071,A06,0.2,200000,0.00001,30000,3,1,4,10,-2,0,2,4,6,8,10,12,14,16
16395,A09,0.35,350000,0.00001,30000,3,1,4,10,-2,0,2,4,6,8,10,12,14,16
15244,A09,0.3,300000,0.00001,30000,3,1,4,10,-2,0,2,4,6,8,10,12,14,16
8357,A06,0.3,300000,0.00001,30000,3,1,4,10,-2,0,2,4,6,8,10,12,14,16
13678,A11,0.2,200000,0.00001,30000,3,1,4,10,-2,0,2,4,6,8,10,12,14,16
1524,A06,0.1732,98175,0.000001,3000,3,1,2,10,1,2,3,4,5,6,7,8,9,10
2,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
2,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
7085,A06,0.15,150000,0.00001,30000,3,1,4,10,-2,0,2,4,6,8,10,12,14,16
13951,A11,0.3,300000,0.00001,30000,3,1,4,10,-2,0,2,4,6,8,10,12,14,16
13618,A11,0.15,150000,0.00001,30000,3,1,4,10,-2,0,2,4,6,8,10,12,14,16
2,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
9865,A04,0.15,150000,0.00001,30000,3,1,4,10,-2,0,2,4,6,8,10,12,14,16
21570,A06,0.2,240000,0.00001,30000,3,1,4,10,-1,10,11,12,13,14,15,16,17,18
1639,A06,0.0693,39270,0.000001,3000,3,1,2,10,1,2,3,4,5,6,7,8,9,10
