runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19
975,A07,0.5,5000000,0.00001,10000,3,1,1,1,-8,-6,-4,-2,0,2,4,6,8,10
10676,A06,0.2,240000,0.00001,50000,3,1,4,10,0,1,2,3,4,5,6,7,8,9
13424,A09,0.065,65000,0.00001,50000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
2265,A04,0.2,3000000,0.000001,50000,3,1,1,1,13,0,0,0,0,0,0,0,0,0
45506,A04,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
12023,A06,0.13,130000,0.00001,60000,3,1,4,10,0,2,4,6,8,10,12,14,16,18
357,A02,0.0034,155719,0.000001,3000,30,1,1,1,10,10,10,10,10,10,10,10,10,10
482,A04,0.0034,155719,0.000001,1000,30,1,1,8,0,5,10,15,20,25,30,35,0,0
412,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
240,A04,0.2,3000000,0.000001,3000,3,1,1,1,-10,-5,0,5,10,15,20,25,0,0
17396,A07,0.3,300000,0.00001,60000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
290,A01,0.0034,155719,0.000001,3000,30,1,1,1,10,10,10,10,10,10,10,10,10,10
123,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
15067,A03,0.13,130000,0.00001,60000,3,1,4,10,18,20,22,25,28,31,34,37,41,45
14257,A06,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
46068,A06,0.04,40000,0.00001,50000,30,5,4,10,3,7,18,20,22,25,30,35,40,45
9443,A10,0.3,300000,0.00001,60000,3,1,4,10,0,1,2,3,4,5,6,7,8,9
6907,A09,0.065,65000,0.00001,50000,3,1,4,10,0,1,2,3,4,5,6,7,8,9
126,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
287,A12,0.0588,2080000,0.0000001,5000,30,1,1,1,-20,5,10,15,20,25,30,35,0,0
17526,A06,0.2,3000000,0.000001,50000,3,1,1,10,0,2,4,6,8,10,12,14,16,0
1238,A06,0.2,3000000,0.000001,3000,10,1,3,5,3,5,7,10,12,14,16,18,20,22
124,A04,0.2,3000000,0.000001,3000,3,1,1,1,6,0,0,0,0,0,0,0,0,0
224,A11,0.11,2400,0.000001,3000,30,1,1,1,0,0,0,0,0,0,0,0,0,0
10241,A06,0.15,180000,0.00001,50000,3,1,4,10,0,1,2,3,4,5,6,7,8,9
160,A09,0.0034,155719,0.000001,3000,30,1,1,1,30,30,0,0,0,0,0,0,0,0
358,A02,0.0034,155719,0.000001,3000,30,1,1,1,0,0,0,0,0,0,0,0,0,0
247,A01,0.0034,155719,0.000001,3000,30,1,1,1,0,0,0,0,0,0,0,0,0,0
24547,A11,0.3,300000,0.00001,60000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
995,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
1284,A03,0.2,6000000,0.000001,3000,3,1,1,8,-20,-15,-10,-5,0,5,10,15,20,25
1351,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
33206,A06,0.13,130000,0.00001,60000,60,1,4,10,0,2,4,6,8,10,12,14,16,18
828,A12,0.2,6000000,0.000001,6000,3,1,2,2,1,5,0,0,0,0,0,0,0,0
1322,A06,0.2,3000000,0.000001,3000,30,1,3,10,5,10,15,25,30,35,40,45,50,55
22852,A05,0.2,3000000,0.000001,30000,3,1,1,10,1,2,3,4,0,0,0,0,0,0
126,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
18474,A09,0.4,2080000,0.000001,50000,30,1,1,10,0,5,10,15,20,25,30,35,40,45
