runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12
6,0.1,0.2,0.6,0,-0.1,0.5,0.2,0,0.1,0.8,0.1,0
5,0.1,0.2,0.5,0,-0.1,0.5,0.2,0,0.1,0.6,0.3,0
9,0.1,0.2,0,0,-0.1,0.4,0.4,0,0.1,0.6,0.4,0
7,0.1,0.4,0.2,0,-0.1,0.3,0.08,0,-0.1,0.4,0.2,0
6,0.1,0.25,0.07,0,-0.1,0.42,0.09,0,0.1,0.76,0.6,0
4,0.1,0.32,0.55,0,-0.1,0.62,0.15,0,0.1,0.82,0.52,0
7,-0.1,0.2,0.4,0,-0.1,0.5,0.35,0,0.1,0.5,0.55,0
4,0.1,0.2,0.1,0,-0.1,0.2,0.3,0,-0.1,0.6,0.1,0
7,0.03,0.2,0.15,0,-0.03,0.4,0.15,0,0,0.8,0.1,0
4,-0.1,0.1,0.12,0,0.1,-0.1,0.5,0,0.1,0.874,0.2,0
5,0.04,0.2,0.2,0,-0.04,0.4,0.38,0,0.03,0.8,0.52,0
4,0.1,0.25,0.1,0,-0.1,0.4,0.2,0,0.1,0.4,0.5,0
6,0.1,0.3,0.3,0,-0.1,0.5,0.2,0,-0.1,0.5,0.05,0
5,0.1,0.2,0.27,0,-0.1,0.5,0.1,0,0.1,0.5,0.43,0
4,0.01,0.225,0.3,0,0.01,0.8,0.3,0,-0.1,0.6887,0,0
5,0.1,0.222,0,0,-0.1,0.98,0.12,0,0.1,0.3443,0.6,0
7,0.1,0.2,0.1,0,-0.1,0.23,0.35,0,0.1,0.8,0.28,0
4,0.05,0.2,0.1,0,-0.1,0.5,0.2,0,-0.05,0.8,0.1,0
6,0.04,0.2,0.1,0,-0.04,0.5,0.2,0,0.02133,0.8,0.1,0
6,-0.1,0,0.6,0,0.1,1,0.3,0,-0.1,0.5,0.2,0
5,0.1,0.2,0.1,0,-0.1,0.5,0.1,0,0.1,0.7,0.05,0
5,0.05,0.26,0.2,0,-0.06,0.42,0.32,0,-0.07,0.54,0.12,0
3,0.1,0.25,0.05,0,-0.1,0.5,0.2,0,-0.1,0.6,0.23,0
