runtime,in01,in02,in03,in04,in05
62390,2000,50,-2.983565686,0,-0.31358539
18251,1000,25,-4.957224307,0,-0.652630961
4786,1000,50,3,0,0
181320,3000,50,-4.924,-0.8682,0
12138,2000,50,-2.970804,0.417519,0
18792,4000,80,-9.962,-0.276,0
45002,2500,50,-2.954,0.515,0
28678,1000,50,-7.956175163,0,0.836227706
36908,1500,50,-2.970804,0,0.417519
17291,1000,50,-10,0,0
88175,1000,50,-4.987820251,0.348782369,0
17684,1000,50,-4,0,0
17933,800,80,-6,0,0
25772,1000,50,-7.989036278,0,-0.41868765
58250,2000,50,-4.972609,0,0.522642
247786,3000,50,-8.8633,0,-1.5628
42596,1000,50,-4.981,0,0.436
62611,2000,50,-2.98,-0.26,0
66953,2000,50,-4.924,0,0.868
10898,1500,50,-2.988584,0,-0.261467
30391,1000,50,-4.951340344,0,0.695865505
51921,2000,20,-1,0,0
171,1000,50,-6,0,0
76879,1000,50,-9,0,0
15335,1000,25,-3,0,0
143,1000,50,-1,0,0
33213,1000,50,-4.9809735,0,0.4357787
99200,2000,50,-4.924,0,-0.868
2,1000,50,-1.997,0,0.105
1,1000,50,-1.997,0,-0.105
54992,2000,20,-4,0,0
3738,100,100,-8,0,0
2,1000,50,-3.5,0,0.49
137331,2000,50,-8,0,0
1,2000,20,-2.98357,0,0.313585
23026,1000,50,-7.956,0,-0.836
26442,1000,50,-7.989,0,-0.419
94815,1000,50,-7.956175163,0,0.836227706
36157,1000,50,-3,0,0
51821,1500,20,-6,0,0
30771,1000,50,-7.878462024,0,1.389185421
44976,3000,50,-1,-7,0
10697,500,125,-0.984807753,0,0.173648178
69963,1000,25,4.995241108,0,0.218096937
88546,1000,50,-1,0,0
59644,2500,50,-2.993,0.209,0
7489,150,100,4,0,0
19212,1000,50,-6,0,0
78894,2500,50,-2.984,0.312,0
4534,150,100,4,0,0
7871,150,100,1,0,0
132596,3500,50,-9,0,0
63757,3000,50,-1.997,0.1048,0
227543,3000,50,-9,0,0
19669,1000,50,-1,0,0
172,1000,50,-9,0,0
26515,1000,50,-7.902,0,-1.251
14758,2000,50,-1,0,0
59076,1000,50,-5.9484,0,0.783
23032,1000,50,-0.9848,0,-0.1736
235000,3000,50,-8.8633,1.5628,0
45671,3000,50,7,0,0
80972,2000,50,-2.954423,0.520945,0
156282,2500,50,-2.993,-0.209,0
77352,1500,50,-1,0,0
43372,1000,50,-7,0,0
568922,1000,50,-2.99,0,-0.16
175655,3000,100,-5.908846518,0,1.041889066
46891,2000,20,-0.98481,0,-0.173648
