runtime,in01,in02,in03,in04
1340,37.85,-30,0,-103.55
504,39,-40,0,-93.5
2775,37,45,0,19.6
7668,38,60,0,45
5027,38.7,82.69,12.69,75.44
5813,38.67,82.69,12.69,84.1
17257,38.69,82.59,12.58,75.33
1655,39,180,180,-105
5376,38.7,86,12.69,84.1
2660,38.7,0,0,0
3230,37.8,50,12.69,15.38
743,38.7,82.69,12.69,84.1
3206,38.7,-90,180,130
1465,30,80,0,0
1290,38,40,0,16
877,33,90,0,0
1291,38.7,82.69,17,73.85
2645,38.1,82.69,12.69,75
640,38,45,0,19.04
3216,38.7,82.69,12.6,45
7698,37.9,40,23,16
1139,38.03,-90,0,97.05
1992,37.72,82.65,12.65,84.06
14129,38.7,82.69,12.69,84.1
1469,38.5,90,0,97.786307
1156,38.7,82.69,12.69,78
1187,25,20,0,20
2250,37.78,0,0,-40.5
8639,29,90,0,115
3537,38.05,86.03,12.96,72.86
9909,37.9,36.8,0,0
752,27,-147,135,-135
6879,38.7,60,30,70
13441,36.7,62.69,12.69,24.1
3095,38,45,0,26
1745,38.197,90,0,98
5982,38.7,82.69,12.69,76
10831,38,80,50,65
7658,36,80,45,84.1
1175,38.2,90,0,99.61
4683,38.7,82.69,12.69,75.625
2050,38.5,70,0,90
1936,39,60,0,75
2501,3,82.69,0,180
14630,38.7,82.69,12.69,72.81
3081,38.7,82.69,12.69,78.5
326,30,0,0,180
7603,37.7,70.69,12.69,70.1
3633,16.7,90,20,0
4395,38,25,15,-16.5
9301,38,49,0,25.6
1781,37.9,82.69,12.69,84.1
771,38.7,105.69,-10.11,110.11
7264,37.8,50,12.69,15.38
25,30,180,0,180
6355,38.7,-150,-90,128.6
1399,37.9,0,0,-45.75
2255,38,60,0,41.9
1698,37,90,15,44
1026,38,-70,12.69,84.1
4906,38,180,90,-167
5928,38.4,-90,0,150
1788,38.5,85,10,90
9308,35,80,0,80
5957,31,-82.69,12.69,130
11811,22.34,71.58,20.56,78.21
4017,35,-150,180,5
1786,39,82.67,12.69,84.2
5730,37.7,82.69,12.69,72.81
1374,38.2,90,0,99.727
2324,39,83,123,85
1240,20.96,62.9,0,34.17
758,16.65,12.84,0,0
1052,38.7,82.69,12.69,82
1354,36,0,0,-40
7764,38,30,0,4
6787,37.7,0,0,54.3
3099,39,60,12.69,15
8050,35,0,0,-5
805,38.04,40,45,84.1
18382,39,86,12.69,84.2
5741,37.71,15,15,-41.35
1081,37.5,90,0,122
2362,38.7,82.69,12.69,78
11750,38.2,49,0,25
2473,38.7,82.69,12.69,83
930,38.055,-94.5,0,90
1771,37.7,30,0,-5.5
945,38.5,62.69,12.69,84.1
2432,38.3,90,0,91
3901,28,82.69,12.69,25
2007,38,45,0,19
4233,38.66,82.69,12.69,75.4
736,35.7,82.69,12.69,84.1
11881,37.6,80,50,65
4924,39,50,0,70
4187,38.7,82.69,12.69,84.1
10146,37.69,0,0,-53.9
15348,37,49,0,24.3
1804,39,82.67,12.69,83.9
1327,38.9,-59,0,-132
5675,38,45,0,17
2146,38.4,75,0,63
1236,38,82,12,67.5
1249,38.4,90,0,101.9
3970,38.7,-90,0,0
1716,37.8,0,0,-50.5
3778,38.32,45,0,105.3
1368,38.7,82.69,12.69,75.1
3355,38.2,90,0,97.1
2717,25,60,0,33
1032,38.5,82.69,0,62.775
1220,38,130,0,127.2
2902,38.9,-58.5,0,-132
7246,38.1,88,7.5,86
7819,37.98,45,0,17.8
6328,37.8,0.5,11,38.5
2634,37.6,0,0,-61.5
8693,37.8,50,12.69,30
19013,38,-120,0,56.5
4368,32,60,0,40
2093,37.2,0,0,-49.5
2573,38.05,-90,0,94.6
2799,37.5,90,0,104
17675,38.03,90,0,95.9
17669,38.2,96.95,12.69,84.1
261,20,0,0,0
30560,35,90,0,90
1472,38.1,-125,0,56.9
4520,37.8,0,0,-49.3
23808,37.7,45,0,18.4
2832,35,-28,-10,130
907,38.5,90,0,101.413
2887,34,90,12.69,84.1
974,38.7,82.69,12.69,-84.1
2364,38,40,0,25
533,38.1,85.5,17,73.7
3334,22,82.69,12.69,84.1
2851,39,60,0,50
3777,38.69,82.69,12.69,75.43
1014,38.7,82.69,12.69,80
1797,37.7,0,0,-60
639,37.6,0,0,-61
1261,30,152.5,62.5,160
2941,38,82.5,12.5,73
8848,12,30,-90,0
1905,38,82.69,12.69,74.2
3285,38.7,89.89,19.89,83.38
3331,39,0,-90,-90
1830,37.8,82.69,12.69,84.1
1135,38,-40,-120,-90
1269,38.05,90,12.69,84.6
919,37.75,0,0,-51
872,38.1,-120,0,57.1
1531,37.8,82.69,12.69,84.1
2110,30,90,0,90
6213,37.95,45.5,0,19.86
3635,25,35,0,20
927,37.6,30,0,-10
4066,38.1,-120,0,56.3
852,38.7,87.69,12.69,84.1
3711,38.7,82.69,12.69,88
10106,38.6,82.68,12.68,84
2844,38.7,95.5,-161.31,-77
825,28,90,0,75
1295,38,-82.69,0,90
6523,38.05,73,12.69,71.5
1130,38.05,-90,0,97.2
2656,37.5,90,0,104.2
5592,37.5,90,0,105
1817,38.1,88,8.2,87
3054,38,0,0,-46
2639,38.7,90,0,85
888,39,82.68,12.69,82
8437,38.7,90,12.69,84.1
796,38.4,66.6,0,56.52
281,11.2,-10.86,167.32,24.93
3429,38.05,-90,0,92
2263,39,-150,-180,-150
7227,39,0,28,0
2392,37.8,0,0,-55.2
1790,37.7,0,0,-59
441,37,13,12.69,100
1205,38.15,82.69,12.69,72.14
6025,38.2,90,12.69,84.1
2296,37.7,0,0,-54.2
907,38.7,82.69,12.69,90
1579,38.7,-60,12.69,-140
5801,38.7,150,65,-172
4604,37.6,141,74,140
2060,38.7,74,0,70.15
1160,38.7,-60,12.69,-170
6973,37.3,50,12.69,50
13184,39,82.69,12.69,84.1
1283,32,82.69,12.69,84.1
7551,38.4,88,7.5,86
30571,38.7,89.5,22.5,80
2063,35,82.69,12.69,84.1
5802,37.72,50,12.69,15.32
5609,38.7,87,12.69,84.1
4311,38.7,75,0,60
741,37.78,30,0,-9.1
550,38,45,0,19
3247,37.5,30,0,-4
7106,38.7,82.69,12.69,80.1
337,37.78,0,0,-50.46
946,37.78,0,0,-50.305
4469,38.5,143,74,130
5410,37.6,12,0,-49.5
1393,36,82.69,12.69,84.1
669,38,0,0,120
7240,37.8,150,0,120
7621,34.7,79.69,10.69,82.1
