runtime,in01,in02,in03,in04
1311,38.7,30,0,50
776,39,59.9,0,47.1
1146,39,15,15,-42
3640,38.7,82.69,12.69,72.5
3245,30,90,10,90
887,38.5,-40,0,-101.85
9239,38.7,50,12.69,84.1
11067,38,45,0,20
2382,38.5,66,0,56.58
768,37.6,30,0,-11
1026,38,30,0,-7
7016,38.05,82.69,12.69,70
2689,35,60,0,70
1265,38.3,-90,0,150
1649,37.8,-15,0,-74.17
2679,37.6,0,0,-63.3
3704,38.052,-5,90,179.8
2777,38.7,90,0,102
9879,38.7,82.69,10.5,80.1
890,37.69,0,0,-58.75
2833,38.7,82.69,12.69,76.4
4440,39,-10,0,50
1590,38,82.5,12.6,72.4
2026,20,90,0,101.5
9454,37.85,49.5,49.5,0
10117,39,26.2,0,0
5748,38.7,60,-10.03,54.08
3380,35,105,0,90
3619,38.7,88,12.69,84.1
719,39,75,0,80
2458,37.7,90,90,33.3
3987,38.7,82.69,12.69,84.1
7352,38.8,85,12.69,84.1
4661,38,45,0,0
1560,38.5,82.69,12.69,75.35
822,37.75,27,0,-13.3
3788,39,15,0,-50
1930,38.18,70,0,59
1068,39,0,0,15
3642,38.7,90,0,180
3142,38,30,15,30
23984,38,60,0,90
1673,38.5,90,0,96.57136
17395,38.5,90,0,71.1
1334,37.8,0,0,-49.5
4273,37,-20,-90,0
1040,38.7,82.69,12.69,75.5
1501,38.6,59.9,0,48.1
1971,38.7,82.69,12.69,73.1
2864,38.7,60,-10.03,54.05
3861,39,60,0,48
1905,38.2,90,12.69,86.9
4883,37.65,0,0,0
5565,37.8,0.5,21,48.5
8586,38.7,80,12.69,84.1
2102,38.7,82.69,50,84.1
422,30,135,135,180
5882,38.6,0,90,75
4062,32,100,15,84.1
2189,38.7,60,0,-180
749,37.8,-40,0,-130
4409,35,0,-90,-90
2779,38.7,45,30,45
1686,38.15,88,8.2,86
22034,30,50,0,0
2577,35,0,45,60
2122,30,90,15,90
699,37.78,0,0,-50.34
9858,35,60,0,90
208,20,0,0,180
5176,38.7,82.69,12.69,75
5625,38.03,90,0,96.9
633,32,10,0,0
1588,37.5,90,90,84.1
4464,38.05,81,12.69,71.5
3135,37.75,45,0,17.5
329,27,90,0,97.5
1533,37.9,30,0,-4.6
137,15,5,0,-180
4108,38.4,90,0,102.8
7345,38,-80,-50,-130
29774,37.9,45,12.69,-0.1
1020,39,0,0,-30
11922,38.7,90,12.69,84.1
2722,39,25,0,6
2463,37.8,50,12.69,15.4
1227,37.85,-30,0,-101.8
3916,34,82.69,12.69,84.1
5019,38.63,82.69,12.69,75.4
12768,37.8,82.69,12.69,72.8
1692,34.24,0,62.42,30.67
4272,37.8,0,0,-54.6
856,38.7,82.68,12.69,75.4
2591,39,82.69,12.69,94
5507,38,90,0,120
2043,39,50,0,75
1115,16.7,90,11,84.1
1885,38.7,82.69,12.69,77
2775,39,75,0,80
3608,37.7,90,90,33.4
8046,38.6,70,0,64
3379,28,-135,135,-116.8
1408,38.5,37.69,12.69,11
728,37.8,0,0,-49.5
4727,35,95,25,84.1
1179,38.4,66.35,0,56.52
2600,38.7,90,0,110
2807,38,-80,0,80
4130,38.518,90,0,102.4
1991,37.8,-15,0,-90
4857,38,90,0,97.096
3620,36,120,0,110
5264,38,110,90,76
1453,38,45,0,19.6
2092,37.9,45,0,17.85
1585,35,180,-20,-10
2179,38,60,0,47.8
788,37.6,0,0,-55
1289,38.7,82.69,12.69,84.1
4089,38.7,90,20,80
9731,35,45,0,90
4535,38,-120,0,56.7
13831,38.054,-94.6,0,90.4
2839,25,60,0,0
6069,37.7,40,12.69,5
8756,37.5,-139.5,0,20
1631,39,0,0,90
4416,37.8,0,0,-54.2
8565,39,0,0,-37.5
2236,38.7,90,180,180
775,38,135,0,0
4339,38.7,82.69,12.69,72
469,30,90,90,84.1
107,4,-90,0,0
10057,38.7,60,-10,52
2352,18,45,0,60
904,38,-52,0,-158
1075,38.7,82.69,12.69,65
1863,38.05,78,12.69,71.5
2707,37.8,82.69,12.69,84.1
2919,39,75,0,45
4258,38.5,143,74,139
949,38,90,0,155
6976,38.7,82.69,0,0
7155,39,60,12.69,84.1
6631,39,110,12.69,14.1
7949,38.23,90,0,99.66
31691,38.5,82.69,12.69,76.2
1946,30,140,0,-90
2432,24,0,-90,0
3203,20,90,0,88
3701,38.7,84,12.69,84.1
7062,38,80,15,70
2497,38.7,85,0,60
1997,38,82.69,12.69,90
2827,39,75,0,71
2114,38,30,0,12
2688,37.6,0,0,-63.2
2511,38.7,83.1,12.69,84.1
729,37.69,0,0,-59.55
1169,37.69,0,0,-57
9479,39,26.5,0,0
5722,38,90,0,140
1247,38,-82.69,0,-180
720,37.8,110,90,61.5
1656,20,45,0,25
4448,39,-30,0,50
2812,39,0,0,-30
4160,38,85,90,50.5
836,38.5,90,0,101.9
797,37.6,90,0,117.5
4426,33,-72,12.69,150
2570,39,-180,-180,150
432,37.78,0,0,-50.5
828,25,82.69,12.69,76.1
2804,33,60,0,90
1045,38.5,90,0,102.243
4317,38.7,60,12.69,84.1
1867,37.9,0,0,-46.05
823,39,90,0,101.21
4447,35,48,0,85
5154,38,5.2,0,-5.2
4618,37.7,90,90,33.58
1116,39,59.9,0,47.2
2477,37.7,75,0,-10
2281,38.7,82.69,12.69,75.43
878,38.7,82.69,12.69,81.8
3283,38.7,80,8,87
1299,38,72.69,12.69,65
5870,38.2,90,0,95.9
1080,37.72,0,0,-58
5148,37.7,82.69,12.69,84.1
7285,30,-90,0,0
1679,38.5,82.69,0,84
893,38.7,0,12.69,-40
559,10,0,0,90
9022,38.7,100,13,84
1632,38.5,90,0,107.590638
870,38.7,82.69,12.69,83.6
3085,33,90,15,15
16242,39,90,0,100
10120,38.7,82.69,13.5,84.1
2401,38.7,82.69,12.69,86
2739,37.77,29.8,0,-9.1
1967,38.7,82.69,12.69,84.1
755,38.1,70,0,75
811,34,0,0,-35
13732,20,90,0,0
3290,39,70,0,125
4204,38.7,180,180,-60
5056,38,69.67,0,55
8819,38.1,-80,-50,-145
5383,37.9,-30,0,-98.9
5499,39,68.5,0,55
440,37,0,0,-120
3122,39,70,12.69,84.1
2404,38,74,0,117
1641,38.7,-50,12.69,-100
4059,38.7,10,0,-10
22951,37.8,45,0,19.1
5262,38,110,90,75.5
3817,39,60,0,60
2586,38.01,-90,0,97.05
8062,38.7,60,-10,54
3003,38.5,90,0,101.5
1228,16.5,60,0,0
1207,26.7,90,0,20
2553,30,-20,0,84.1
3928,16.9,90,0,14.56
4460,36,-60,0,-132
955,38.7,82.69,12.69,76.59
3455,39,85,0,70
9191,38,45,0,29.5
6982,38.2,75,0,78
1792,38,82,12,75
5487,38.518,90,0,99
410,29,90,0,97.5
1397,38.5,85,90,45.9
886,20,-130,-90,130
2027,38.68,90,0,99.5
2577,38.7,82.69,14.68,77.53
4033,37.8,30,0,-3
2660,37.6,0,0,-60.5
970,37.9,90,45,62.86
5524,26.89,90,0,92.3
3840,37.98,60.01,0,41.24
2766,38,90,12.69,86.99
729,38.7,82.69,12.69,75.3
7475,35,90,0,90
1540,38.197,90,0,99.25
3784,38,82.69,12.69,75.25
512,39,90,0,101.02
4257,38.5,143,74,137.5
5523,39,88,90,51
719,38,80,10,69
5903,38.3,90,0,110
5178,37.9,110,90,150
720,28,-133,135,-135
5130,39,89,12.69,84.1
1306,38.04,90,0,105
5880,39,110,12.69,140
717,38.054,-94.8,0,90
1016,38.5,90,0,101.457
5917,38.7,82.69,12.69,86.1
6388,38.23,90,0,99.89
4001,38.7,82.69,12.69,76
3105,37.9,-30,0,-99.3
18810,38,90,12.69,84.1
1771,38,82.69,12.69,71
1224,38.7,82.69,12.69,84.1
1099,38.05,-90,0,97.02
31003,38.7,60,-10,56
2403,37,65,0,110
6220,34,-65,0,120
1065,37.7,90,90,84.1
10234,38.83,82.69,12.69,83.8
828,38.5,90,0,101.335
5512,38.68,82.69,12.69,84.1
5711,37.9,110,90,110
10164,38,-120,0,56.1
2300,39,71,0,70
1057,37.75,0,0,-50.3
5149,38.7,82.69,12.69,73
2766,38.7,82.69,12.69,76.1
5091,38,82.69,12.69,72.7
4526,37,45,0,19
1338,39,45,0,25
1014,38.1,-120,0,56.7
734,38.7,82.69,12.69,76.6
1159,39,90,90,55.5
10180,38.09,-119.9,0,56.72
5750,38.7,82.69,12.69,84.1
1223,38,0,0,-42
1218,39,100,0,128
9444,37,90,0,180
1332,38.2,90,0,101.3
897,38,80,10,70
8933,38.3,90,0,103
1037,38.5,72.69,12.69,84.1
8899,38.7,60,0,46.3
278,37.75,0,0,-52
1027,38,84,12.69,67
1892,38.7,60,0,47.1
6444,37.74,0,0,90
480,39,45,0,25
995,28,-155,135,-135
11877,37,89.9,19.5,82.5
17759,38.1,100,0,93
1492,38.4,66.4,0,56.47
3353,38,90,90,38
11550,38.3,90,0,101.43
1109,28,152.5,62.5,160
2936,38,85,90,51
1052,38.3,86,16,78
2159,38.5,90,45,75
3035,38,45,0,13
3505,38.1,70,0,60
46,25,30,-160,180
2645,37.3,-180,-180,20
756,37.9,-30,0,-100.1
4413,35.44,0,115.13,-57.19
987,38.7,82.69,12.69,76
532,37.9,30,0,-4.15
560,0,0,0,179
8539,38,90,13,84.1
1586,39,110,12.69,180
3396,38.7,82.69,12.69,78
5522,38.7,68,0,80.1
2341,39,-90,0,0
3801,35,82.69,0,50
3019,38.5,84.69,12.69,84.1
6453,14,0,-90,0
919,37.5,12.69,12.69,84.1
1228,39,90,0,101.1
963,39,82.69,12.69,84.1
1592,38.7,82.69,12.69,84.1
2674,38.7,82.69,12.69,84.1
9962,37.7,50,12.69,18.43
951,38.055,-94.4,0,90
80,39,-115,70,-150
787,38.7,135,12.69,84.1
5128,38,5.3,0,-5.3
30986,36,90,0,80
871,37.8,90,0,40
2128,38.7,82.69,12.69,75.4
6580,37.7,90,45,75
2060,37.8,150,0,-115.5
5907,38.7,77,0,64
4162,38.7,82.69,12.69,84.1
4082,35,92,36.7,123.6
2115,39,70,0,55
1345,38,82.69,12.69,70.8
2076,38.7,82.69,12.69,80.1
6430,38,120,0,57
5807,37.7,100,20,100
1402,38.7,82.69,90,95
2460,38.7,90,0,101.9
1005,38,65,0,50.4
1912,38.5,86,12.3,88
844,37.7,0,0,-49.4
2071,37.85,110,90,52.9
5292,37.7,0,0,-46.8
580,38,45,0,19.01
4242,38.054,-95,0,90
753,38,0,0,30
14446,38.7,82.69,12.69,83
706,37.75,0,0,-59
6001,38.7,47.85,15,0
1257,37.95,-118,0,45.5
2674,38.3,86,16,77.7
2221,38,0,0,-44.5
1072,37.7,0,0,-70
6458,38.03,90,0,97.4
4051,25,105,25,84.1
1410,37,-170,180,160
906,20,100,0,90
1788,36.7,82.69,12.69,84.1
11291,38.7,89.9,19.8,83
1310,37.5,90,0,140
1434,39,100,0,10
1714,38.09,-120,0,56.7
754,38.03,90,0,90.1
1701,26.8,88,0,20
12872,34,90,0,90
935,38.7,82.69,12.69,75.4
9924,37.7,90,30,90
1161,38.5,90,0,89.4034384
903,39,105,0,115
21387,36.3,90,0,97.1
3259,38.3,82.69,13,75.43
1008,38.5,-80,0,160
1729,38.4,90,0,102.1
4362,37.9,0,0,-49.7
934,38,82.69,12.69,84.1
1406,38.7,74,0,70.12
5076,38.053,-95,0,90
863,39,135,0,90
4789,38,45,0,29
5741,30,90,0,40
4525,38.7,170,65,-157.05
3520,38.05,86,13,73.6
7538,25,82,0,45
7715,37.8,50,12.69,15.8
4078,38.05,84,12.69,71.5
2661,38.69,82.67,0,86.72
986,38.7,120,12.69,80
3324,38.7,60,-10,53.64
1588,38.7,82.69,12.69,84.1
3098,38.3,90,0,101.46
388,38.5,82.69,12.69,75.04
10151,38,85,12.69,75.1
1841,39,0,0,-36
6087,38.7,82.69,12.69,-38
4334,39,97,0,114
3866,32.5,-65,0,135
9300,38.7,82.69,12.69,82
5345,39,15,0,0
3562,38.7,-50,0,-90
1523,39,81,0,60
922,35,90,0,0
1511,38.3,90,0,94.18
879,38.7,82.69,-10.11,84.1
2411,39,88,90,54.25
539,37.78,0,0,-50.7
732,38.1,86.4,17.6,73.7
1186,36,55,0,19
4714,38.4,90,12.69,72
7617,38.7,80,0,83
3160,38,60,0,40
6271,38.1,-90,0,89
18039,37.5,85,0,79
4748,37.78,90,90,40.4
151,14,30,0,90
1520,38.5,90,0,109.13991
1974,37,82.69,12.69,100
762,38,83.5,12.69,67
3551,38.7,72,12.69,84.1
935,38.7,-60,12.69,-180
2742,37.75,0,0,-49.5
6885,38.5,66,0,56.54
2560,38.054,-90,0,101.9558753
1204,37.5,30,0,13
2622,37.86,110,90,52.7
2467,38,50,0,45
2047,38.5,30,0,15
4602,38,45,0,-10
951,38.7,70,70,84.1
2482,38.7,90,0,60
3395,38.7,82.69,12.69,72.1
5905,37.7,45,0,19
1699,11,75,0,90
2261,38.7,82.69,12.69,76.2
8078,38,60,40,63
2199,38.7,82.69,0,86.77
1110,28,-151,135,-135
31056,37.5,48,0,18.2
493,38.3,90,0,100.9
2848,37.2,-90,0,97
7646,38.7,45,0,60
5057,38,90,0,109
9563,38.7,60,0,44.1
2014,38.7,82.69,12.69,84.1
1288,37.69,0,0,-56.28
727,38.7,0,0,-33.5
4646,37.8,50,12.69,17.5
2461,38.79,82.69,12.69,84.1
10118,38,80,15,65
3971,38,90,0,96.71
1720,25.21,72.32,32.87,26.34
2271,35,-130,180,-160
2250,20,-90,0,0
161,0,90,0,0
2239,37.78,30,0,-8.05
2359,39,60,0,30
7530,38.2,102,0,127.2
1129,36,82.69,12.69,76
4767,38,60,0,41.4
1352,38,60,0,50
2210,38.2,90,12.69,86.9
4090,38.5,143,74,135.5
4476,38.061,-90,0,91.95
3525,39,-180,-180,-70
881,38,45,0,19.18
283,35,170,0,180
3435,38.7,82.69,12.69,76
31576,38.7,90,0,80
1008,32,55,0,87.5
1480,38,-60,0,-152
2730,37,85,0,73
21317,38.3,80,0,80
2011,39,75,0,80
2759,39,90,0,101.1
4677,38.7,82.69,12.69,72.7
4591,38.7,30,0,0
3337,38.21,90,0,99.73
456,30,10,0,84.1
5957,38.1,-120,0,56
2297,38,60,0,-20
79,38.6,180,0,-24
358,38.45,82.69,12.69,74.87
869,37.77,27,0,-9.1
4060,37.8,0,0,-56.1
3819,37.7,0,0,-55.88
8683,39,70,0,90
3947,37,80,0,0
2972,38.5,85,90,48
3909,38.5,85,90,46
17852,39,90,90,-168.9
733,37.7,0,0,-48.1
643,38.4,66.5,0,56.52
1096,38.5,90,0,-125
815,38.7,87.6,12.69,84.1
7103,33,85,0,0
1231,37,90,12.69,130
1222,39,72.69,12.69,84.1
807,38,82.69,12.69,70.3
9611,38.7,82.69,12.69,75
3548,30,90,0,75
2142,38.7,110,12.69,95
7607,38.7,110,12.69,84.1
900,37.7,150,0,-115
2863,39,45,0,60
2448,28,90,12.69,90
4366,38.41,90,0,96
16587,38.1,88,8.4,85.3
8811,38.7,82.69,12.69,76
4568,38.7,-150,-90,100
1771,38,60,0,57
1076,38.5,-40,0,-101.8
6954,37.9,95,12.69,84.1
1740,38.7,90,0,77
1948,38.7,97.31,-161.31,-78
2831,30,30,0,90
1035,38.0555,-90,0,91.95
28842,38.7,60,0,45.8
881,38.7,88,12.69,84.1
720,38,60,0,44
961,39,102,0,123
1213,38.7,82.69,12.69,81.3
5092,37.5,90,0,102.6
2984,38.7,45,90,4
6738,38.7,15,0,30
81,39,-115,70,180
1904,38.18,70,0,60
974,37.7,50,0,75
5844,37.8,50,12.69,15.83
1863,38.3,90,0,102
1215,36.7,90,12.69,84.1
820,37,13,30,-50
2648,36.24,71.58,20.56,78.21
2622,38,45,0,19
1014,37.5,90,0,97.1
1090,37,0,0,-52.9
2603,38.7,90,0,120
1313,38.2,90,0,99.4
3839,38.5,-70,0,160
4810,38.3,70,0,65.7
2723,38.93,130,0,-50
2708,38,80,45,55
1501,36.5,70,0,60.12
1228,38,-112.5,-10,52.5
2350,39,58,0,30
3813,38.7,15,0,60
5852,38.7,48,0,29
995,28,-153,135,-135
1677,36,70,0,145
1038,38.7,82.69,12.69,74.6
9772,38,90,12.69,87
28725,38.3,82.69,12.69,84.1
6100,39,45,0,70
706,38.2,90,0,100
2870,38,-60,0,-154
330,38.7,80,0,81.5
1970,39,85,0,55
4253,39,82.69,12.69,80
5173,37.8,0,0,-50.2
768,37.85,150,0,-114.44
2328,38.7,82.69,12.69,76.25
2745,38.5,-97.5,-5.9,37.8
2409,39,50,0,50
2712,39,80,0,82
7245,38.5,90,0,100.8
1078,37.79,30,0,-7.9
1781,37.8,0,0,-49.5
6978,20,70,0,-30
1277,38.05,-93,0,89.7
6411,16,0,-90,0
700,37.8,30,0,-7.6
1084,37.8,30,0,10
6505,38.4,90,0,100
8840,38.03,90,0,100.5
4498,37.65,0,0,-62
596,29,90,0,90
10875,38.2,90,12.69,89.2
4233,38.7,-10,0,10
4564,38.7,82.69,12.69,76.2
3614,38,90,0,101.1
1211,24.12,87.45,15.43,97.25
12235,37.71,15,15,-42.1
6040,37.8,45,0,19.4
1390,38.7,82.69,145.2,84.1
5390,37.9,-30,0,-98.7
168,15,60,70,120
1625,38,-120,0,60
1239,30,60,70,90
5479,37.7,30,0,-8
7860,38.22,90,0,99.89
1116,38.1,-60,0,-150
4325,38.7,82.69,12.69,75.75
2789,39,90,0,90
6177,37,45,0,17
1326,38.05,90,12.69,84.3
11796,38.7,86.56,12.69,57.6
5168,38.7,105,12.69,84.1
16027,38.1,82.69,-119.75,-120.71
7818,38.1,82.69,12.69,83
850,37.5,-150,0,0
1340,37.7,40,12.69,4
2496,38.1,80,0,-120
1107,16.7,90,12,84.1
1112,38.7,82.69,12.69,84.1
1305,37,82.69,12.69,56
1598,38.7,82.69,12.69,84.1
2896,39,45,30,70
732,38,82.69,12.69,73.9
1533,38.1,75,0,60
4134,38,90,0,113
3448,38.32,90,0,105
5015,38.7,90,0,102.1
4114,25,90,0,120
3576,37.8,0,0,-48
5277,38.03,90,0,100.8
2744,39,-90,0,90
589,38.7,90,0,101.75
4311,37.9,30,0,-4.2
4761,38.7,82.69,12.69,63
1579,38.057,-90,0,91.95
1166,38.575,90,0,97
1246,37.9,-30,0,-100
1551,38.7,90,0,102.5
2330,38,-180,-180,127
9560,38.55,90,0,97
1388,38.7,82.69,12.69,0
1149,38.2,90,10,110
1596,39,82.69,12.69,70
3434,39,-180,-180,-90
1409,38.7,82.69,12.69,75.43
3477,35,35,0,6
3467,36,70,0,135
2425,38.5,90,0,102.852
1040,38.5,90,0,101.303
3584,38.2,90,12.69,87.18
2711,38.7,120,12.5,80
2405,29,90,12.69,90
3090,38.7,82.69,12.69,79.5
1564,38,90,90,70
4594,38.518,90,0,102.8
4543,38.7,90,12.69,111
335,38.1,85.6,17.6,73.7
786,37.8,-40,0,-140
1107,38,45,0,19.16
1209,38,70,12.69,75
10051,37,90,0,45
4197,38.7,-90,180,-100
5967,37.71,15,15,-41.6
2678,38.7,82.69,12.69,83
842,30,85,15,120
5592,38.7,90,12.69,83.3
2282,37.9,34,0,0
8656,38.7,180,90,-160
455,35,0,0,0
4967,38,87,12.69,75
4379,37.75,0,0,-49
969,38.5,82.69,12.69,77
1543,39,-5,0,-45
754,38,-40,0,-122
723,37.8,0,0,-47.6
1226,38,44.5,0,19.2
4200,39,20,0,50
3010,38.7,170,65,-161
587,38,45,0,19.05
1279,20,130,12.69,84.1
1187,38.2,27.69,12.69,-6
12440,38.1,90,0,100
1245,38.2,32.69,12.69,84.1
8551,38,45,0,27.5
2811,38.83,80,15,90
4660,26.89,90,0,93.8
8017,37.5,90,0,103.3
8349,38.05,88,7,86
82,28,0,-90,0
2366,38.7,82.69,0,86.79
937,37,13,30,10
2892,39,45,0,19
1366,35,45,0,20
2275,37.8,0,0,-49.5
1189,39,60,0,47.5
2855,38.7,70,0,80
2256,16,82.69,12.69,84.1
4711,33,90,0,0
2116,38.7,65.15,0,54.5
1426,38.7,0,0,-34.9
4973,37.7,65,12.69,75
4815,37,90,0,0
2627,38.5,90,0,101.95
616,37.7,-170,180,151
2594,39,75,0,75
1426,37.9,0,0,-55
4963,32,80,12.69,56.21
1146,37.5,0,0,-40
7835,37.98,45,0,18.2
7762,38.7,82.69,12.69,84.1
1620,9,-90,0,0
2448,32,45,0,25
371,37.7,0,0,-55.99
739,37.5,-156.59,0,-20
2494,38.057,-90,0,92
4419,38.7,82.69,12.69,85
1202,38.3,80,0,86
3562,38.1,-120,0,56.8
1569,37.7,83,12.69,84.1
853,38.7,82.69,12.69,84.1
1557,37.85,110,90,52.8
918,38.7,82.69,12.69,78
6098,18,90,0,90
2060,36,85,90,55
5873,38.7,-90,180,-80
7812,37.9,30,0,-4.33
3027,35,80,10,80
4360,38,90,0,70
1374,37.65,0,0,-57
28681,38.7,82.69,45,84.1
3586,39,70,0,65.5
662,37.99,45,0,18.98
2730,38.7,90,0,80
4008,37.5,84.28,62.69,134.1
291,29,90,0,97.35
932,35,44,0,60
4773,37.8,0,0,-51.1
3672,38.4,-122,0,57
6397,38.7,82.69,12.69,100
1387,38.07,-120,0,56.75
2084,35,0,0,90
3799,37.95,60,0,47
5575,38.23,90,0,99.76
28777,37.97,82.69,12.69,77
870,37.5,-156.5,0,-20
2610,37.8,90,90,42
1752,37.7,0,0,-56.2
3121,38,45,0,19
1768,38.3,80,10,120
21454,38.7,45,12.7,20
7358,38.7,89.89,19.89,83.37
462,38.3,82.69,12.69,74.5
2834,38,45,0,26.5
2208,38,90,0,94.3
4032,38.69,82.69,12.69,75.4
6233,37.5,90,0,102.7
1528,39,90,0,105
6086,38.2,49,0,25.35
2182,39,90,180,0
1582,38.5,85,90,45.2
1062,38.5,66.2,0,56.58
5629,35,48,0,85
3991,38.7,-90,0,0
4402,39,0,0,-40
2006,37.2,135,90,109
4958,37.5,-155.1,0,-20
4803,38.5,90,0,114.87
1707,38.7,82.69,12.69,75.625
14806,38.2,49,0,24.8
9279,36,90,0,130
9671,37.59,-150,0,18.5
8642,36,80,0,87
2042,38.7,82.69,12.69,84.1
2254,30,80,0,84.1
2815,38.1,-70,0,80
10132,38,89.5,12.69,84.1
1548,38.7,-116,0,58
3366,38.7,82.69,12.69,84.1
8788,37.85,110,90,61.5
5309,18,-20,29,-27
922,38,30,0,3
1526,37.8,0,0,-49.2
3636,38.7,0,0,101.8
3238,39,60,30,10
17798,38.7,90,0,90
1690,37.9,0,0,-39
1457,38.5,90,0,88.5101925
16710,37.96,-60,-30,110
877,37.8,50,12.69,16
574,36.9,0,0,81
16290,38,45,0,18
3043,37,45,0,22
7281,38.2,82.69,12.69,84.1
2084,38.5,84,14,82
4824,38,90,0,109
2866,38.3,-60,0,-139
2346,38,85,12.69,74.7
3402,38.04,-90,0,92
8652,16,20,-90,0
1237,37.7,13,30,-89
4697,38.7,82.69,12.69,74.9
16597,38,50,82,84
961,37.5,90,0,105.7
1229,38.7,82.69,50,84.1
4222,35,82.69,12.69,100
610,29,90,0,94
5822,35,75,0,45
5237,37.85,0,0,0
2758,38,-120,0,57.5
879,38.8,90,0,110
1289,37.8,60.69,12.69,40
993,38.5,-40,0,-100.3
646,37.8,0,0,-44
2630,38.9,82.69,12.69,84.1
1673,38.7,82.69,12.69,84.1
4590,38.03,90,0,95.2
6095,38.7,82.69,12.69,84.1
934,37.69,0,0,-58.9
1262,38.5,90,0,106.96956
802,37.8,-40,0,-136
3844,35,85,0,72
734,38.5,70,10,73
14944,38.1,90,0,102.8
1600,38.7,55.2,12.69,84.1
2127,35,70,0,115
1275,38.7,-122,0,58
930,37.6,30,0,-7
659,37.78,0,0,-50.2
5319,37.7,0,0,-46.9
696,38.7,82.69,12.69,81.3
1034,34.9,10.1,0,0
1308,39,30,45,75
2785,29,90,30,84.1
3998,39,82.69,0,84.1
4477,38.2,89.69,12.69,84.1
855,38.7,82.69,12.69,84.1
2576,38.7,90,0,103
2441,37.9,-30,0,-93
316,35,0,0,-2
2420,38.7,82.69,12.69,84.1
3102,37.9,-95,0,140
2923,38.3,83.75,14.01,75.4
7670,38.7,82.69,12.69,74.1
13434,38,81.7,12.69,67.8
1312,38.7,82.69,12.69,70
1605,38,120,0,127.2
1353,37.8,30,0,-5.1
2192,38.4,90,0,100.6
9278,38,130,90,90
884,38.05,85,90,38
3742,38.1,-90,0,97
9749,38.7,82.69,0,86.81
6422,28,-135,135,-116.1
2620,38.1,82.69,12.69,72
1606,37.9,45,0,15.9
2104,38.5,70,-90,-178.5
9466,37.9,-30,0,-97
10240,37.9,30,0,-4.4
1849,38,30,0,-1
1044,38,75,0,90
2854,38.1,82.69,12.69,74.1
5209,37,82.69,56,84.1
1526,39,100,0,90
1160,38.7,70,12.69,84.1
2351,38.7,82.69,12.69,76.4
1184,38.1,90,0,105
1041,37.8,30,0,-50
2365,38.7,82.69,12.69,73
3741,38.1,88,8.4,85.4
2577,38.66,82.69,12.69,84.1
3147,38.5,90,0,120
13835,39,75,13,80
26305,37.95,45.6,0,19.45
14095,38.23,90,0,99.67
1036,37.8,-40,0,-139
4701,38.1,91,12.69,84.1
5769,38.6,70,0,67
11535,37.95,45.5,0,19.45
777,37.9,30,0,-4.07
3943,38.7,-150,180,179
1852,37.5,30,0,6
1770,39,-5,0,0
3303,38.3,83.75,14.01,75.3
925,38.7,82.69,12.69,82
1169,37.8,30,0,0
3141,38,4.7,0,-4.7
675,36,90,90,70
815,38.5,90,0,-120
4084,38,25,15,-20.68
1336,38.7,135,-160,180
974,26,70,0,25
1006,38,45,0,19.5
3617,39,82.69,12.69,83
3645,38.7,82.69,12.69,80
2444,38.7,82.69,12.69,70
2228,37.7,150,0,-105
5759,37.9,-30,0,-105
893,38.16,90,0,97.143
721,38,0,0,-30
3151,16.6,-45,12.69,130
4334,38.7,45,12.69,20.1
4823,38.3,70,0,65.5
2148,39,90,0,110
1757,39,75,0,65
4302,38.7,89.9,19.5,82.5
4101,37.8,50,0,26
3281,37.8,90,12.69,84
840,38.5,-40,0,-96.6
799,37.8,30,0,-5.2
3009,39,82,13,70
1789,39,82.67,12.69,84
1161,37.7,-170,180,157
2155,38.7,0,0,-70
24068,36,90,0,140
1745,37.77,30.3,0,-9.1
2207,38.7,0,0,-35
2371,37.7,0,0,-55.2
1832,38.05,65.13,0,55
2464,39,105,0,95
2519,38.175,82.69,12.69,100
774,38.21,90,0,99.85
5728,38.7,82.69,12.69,84.1
6803,38.5,70,-90,-177.5
10607,38,49,0,25.4
5833,38.7,82.69,12.69,80
2315,38.58,90,0,98.1
2361,38.85,87.69,12.69,87.1
14732,38.7,82.69,12.69,76.6
2481,37.7,0,0,-56.2
2157,38,82.69,12.69,84.1
11854,38,-120,0,55.4
4893,38.2,66.4,0,56.45
5655,38.1,88,7.8,86
2235,38.7,82.69,12.69,76.7
4564,32,90,0,90
7887,38.95,82.69,12.69,84.1
4213,38.04,-90,0,92
756,38,82.69,12.69,69.3
2671,39,90,90,54.7
1492,37.85,-30,0,-103.5
10277,37.8,60.69,12.69,64.1
8287,39,82.69,12.69,78
2351,16,45,0,60
7393,38.7,90,0,0
1498,38,5,0,-14.5
1520,37.65,0,0,-64
852,38,60,0,30
8084,37.7,90,12.69,65
1583,37.8,0,0,-50
1567,38.7,82.69,12.69,66
1456,38.08,-120,0,56.7
3467,39,-180,-180,-50
5742,33,90,0,97.162
1799,37.7,0,0,-55.85
1926,37.4,0,0,0
1149,38.5,90,0,101.405
547,29,90,0,97.4
21331,38.7,88.5,11.2,66.5
2521,37.9,82.69,12.69,84.1
3078,38,4.4,0,-4.4
1912,36,60,0,110
2508,35,80,0,60
5354,37.9,-30,0,-98.8
4474,35,80,13,180
893,34.78,65.25,23.45,89.99
3834,39,82.69,12.69,60
2796,38.7,82.69,12.69,75.5
1364,37.96,61,81,-3
