runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12,in13,in14,in15,in16
5,100000,0,tn2006,ori,1,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,ori,2,0.05,50,330,30,88000010,600,0.1,-73,-10,1.8,current
13,100000,0,tn2006,V241F,2,0.05,30,130,30,88000010,600,0.1,-73,-10,1.8,current
41,100000,0,tn2006,S140G,2,0.05,30,1000,30,100,600,0.1,-73,-10,1.8,current
19,100000,0,tn2006,ori,2,0.05,30,335,30,400,600,0.1,-73,-10,1.8,current
44,100000,0,tn2006,S140G,2,0.05,30,1000,30,100,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,ori,1,0.05,30,260,30,88000010,600,0.1,-73,-10,1.8,current
6,100000,0,tn2006,V241F,1,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,ori,2,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,ori,1,0.05,30,260,30,88000010,600,0.1,-73,-10,1.8,current
42,100000,0,tn2006,S140G,3,0.05,30,1000,30,100,600,0.1,-73,-10,1.8,current
215,100000,0,tn2006,ori,2,0.1,30,4000,30,0,600,0.1,-73,-10,1.8,current
45,100000,0,tn2006,V241F,3,0.05,30,1000,30,100,600,0.1,-73,-10,1.8,current
12,100000,0,tn2006,ori,1,0.1,1,1200,30,88000010,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,S140G,1,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,ori,2,0.05,20,260,30,10000,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,V241F,1,0.05,30,120,20,10000,600,0.1,-73,-10,1.8,current
179,40000,0,tn2006,ori,3,0.1,30,4000,30,88000010,600,0.1,-73,-10,1.8,current
7,100000,0,tn2006,ori,1,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
9,1040000,0,tn2006,V241F,3,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,ori,1,0.05,30,250,30,88000010,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,ori,3,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,S140G,3,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
63,100000,0,tn2006,G229D,1,0.05,30,1000,20,10,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,S140G,1,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
32,100000,0,tn2006,ori,1,0.1,30,300,30,88000010,600,0.1,-73,-10,1.8,current
50,100000,0,tn2006,ori,2,0.05,30,1000,20,100,600,0.1,-73,-10,1.8,current
45,100000,0,tn2006,G229D,3,0.05,30,1000,30,100,600,0.1,-73,-10,1.8,current
41,100000,0,tn2006,S140G,2,0.05,30,1000,30,100,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,ori,1,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
29,100000,0,tn2006,V241F,1,0.05,20,260,30,10000,600,0.1,-73,-10,1.8,current
5,40000,0,tn2006,ori,2,0.05,20,1000,30,88000010,600,0.1,-73,-10,1.8,current
6,100000,0,tn2006,ori,2,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
8,100000,0,tn2006,V241F,3,0.05,30,1000,20,88000010,600,0.1,-73,-10,1.8,current
50,100000,0,tn2006,ori,3,0.05,30,1000,20,100,600,0.1,-73,-10,1.8,current
5,40000,0,tn2006,ori,1,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
11,100000,0,tn2006,G229D,3,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
29,100000,0,tn2006,V241F,3,0.05,20,260,30,10000,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,V241F,3,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
4,40000,0,tn2006,ori,1,0.05,20,1000,30,88000010,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,ori,1,0.05,30,170,20,10000,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,ori,2,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
35,40000,0,tn2006,V241F,2,0.05,20,1000,30,100,600,0.1,-73,-10,1.8,current
4,40000,0,tn2006,ori,2,0.05,30,300,30,88000010,600,0.1,-73,-10,1.8,current
3,100000,0,tn2006,ori,2,0.01,20,150,30,88000010,600,0.1,-73,-10,1.8,current
51,100000,0,tn2006,ori,2,0.05,30,1000,20,100,600,0.1,-73,-10,1.8,current
56,10000,0,tn2006,G229D,2,0.05,30,1000,20,100,600,0.1,-73,-10,1.8,current
