runtime,in01,in02
61,-0.5,7
45,-0.5,4.11355
78,-0.5,4.11
66,-0.5,4.14
61,-0.5,4.16
67,-0.5,4.11361731
59,-0.5,4.111
45,-0.5,4
61,-0.5,4.2
58,-0.5,5
60,-0.5,4.2
38,-0.5,2.41
34,-0.5,2.42
51,-0.5,5
68,-0.5,4
35,-0.5,2
78,-0.5,9.8
40,-0.5,4.12
56,-0.5,4
58,-0.5,4.2
67,-0.5,4.19
50,-0.5,4.115001
42,-0.5,3
67,-0.5,4.1
56,-0.5,4.075047005
54,-0.5,4.45
68,-0.5,4.1135
67,-0.5,7
41,-0.5,3
72,-0.5,4.112266
57,-0.5,3.9
64,-0.5,7.5
65,-0.5,4.113617435
71,-0.5,4.05
38,-0.5,2
87,-0.5,9
72,-0.5,8
53,5,5
63,-0.5,3.5
55,-0.5,4.02
54,-0.5,4.1138
68,-0.5,9
65,-0.5,4.0875
67,-0.5,4.185
52,-0.5,4.113522
67,-0.5,4.1131
92,-0.5,8
55,-0.5,5
76,-0.5,5
39,-0.5,2.32
44,-0.5,3.8
61,-0.5,4.11729
69,-0.5,6.5
47,-0.5,3.5
96,-0.5,8
121,-0.5,4.109
64,-0.5,4.113
60,-0.5,6
90,-0.5,4.148
74,-0.5,4.1
60,-0.5,4
41,-0.5,3.1
59,-0.5,4
62,-0.5,5
96,-0.5,10
46,-0.5,4.1
50,-0.5,4.1191
89,-0.5,10
65,-0.5,7
61,-0.5,4.1
52,-0.5,5
97,-0.5,10
66,-0.5,4.2
66,-0.5,4.5
76,-0.5,6
54,-0.5,4.113617434
50,-0.5,4.094989101
109,-0.5,8
79,-0.5,10
58,-0.5,4.15
45,-0.5,4
47,-0.5,4.1135
49,-0.5,4.113
103,-0.5,8
47,-0.5,4.088
66,-0.7,7
45,-0.5,2
66,-0.5,4.113
51,-0.5,6
105,-0.5,3
65,-0.5,6
40,-0.5,3.95
50,-0.5,4.2
66,-0.5,4
56,-0.5,4.1
76,-0.5,3.7
63,-0.5,4.113617439
50,-0.5,4
61,-0.5,7
65,-0.5,4.05
45,-0.5,4.23
58,-0.5,4.1105
3356,-0.5,8
69,-0.5,4.1108
83,-0.5,8.5
55,-0.5,6.5
50,-0.5,4.7
109,-0.5,4.12
57,-0.5,3.8
60,-0.5,4.15
71,-0.5,3
68,-0.5,8
49,-0.5,2
55,-0.5,4.11753
69,-0.5,4.112
48,-0.5,5
53,-0.5,6
80,-0.5,8
54,-0.5,4.1
44,-0.5,4.12
83,-0.5,10
72,-0.5,8.5
59,-0.5,4.4
49,-0.5,7
51,-0.5,4.04
51,-0.5,5
94,-0.5,10
66,-0.5,5
151,-0.5,9.5
68,-0.5,7.5
71,-0.5,4.14
51,-0.5,5
69,-0.5,4.14
55,-0.5,4.1137
55,-0.5,3
66,-0.5,4.113
62,-0.5,4.114
3337,-0.5,2.7
75,-0.5,3.668
74,-0.5,9
60,-0.5,3.5
43,-0.5,2.19
49,-0.5,4.112
92,-0.5,9
61,-0.5,7
54,-0.5,4.167
89,-0.5,10
41,-0.5,4.12
51,-0.5,4.11
35,-0.5,2.46
68,-0.5,9
71,-0.5,4.11499
53,-0.5,4.5
53,-0.5,4.112
59,-0.5,4.13
88,-0.5,9
72,-0.5,4.12
88,-0.5,8
48,-0.5,4
48,-0.5,2
53,-0.5,5
51,-0.5,4
51,-0.5,4.09
69,-0.5,4.108
65,-0.5,4.2
45,-0.5,4.3
64,-0.5,6
103,-0.5,10
60,-0.5,4.15
73,-0.5,4.106
85,-0.5,10
100,-0.5,7
71,-0.5,4.09
48,-0.5,4.1
60,-0.5,4.1119
49,-0.5,4.1
37,-0.5,4.119
73,-0.5,4.114
43,-0.5,4.15
79,-0.5,8.5
59,-0.5,4.6
57,-0.5,4.115
61,-0.5,8.1
109,-0.5,3
75,-0.5,4
71,-0.5,4
72,-0.5,6
72,-0.5,5
69,-0.5,8
76,-0.5,4.16
61,-0.5,4.11741
60,-0.5,4.12
70,-0.5,9
55,-0.5,4.1
71,-0.5,4
30,-0.5,3
78,-0.5,7.8
53,-0.5,4.1126
54,-0.5,5
62,-0.5,5.5
71,-0.5,10
50,-0.5,4.3
65,-0.5,5
92,-0.5,8.8
65,-0.5,9
46,-0.5,3.1
58,-0.5,4.5
119,-0.5,10
47,-0.5,4.06725
57,-0.5,4.1
63,-0.5,4.11
38,-0.5,3
42,-0.5,4.119
76,-0.5,9.9
45,-0.5,2.8
38,-0.5,3
173,-0.5,10
52,-0.5,4.3
55,-0.5,4.17
41,-0.5,3
61,-0.5,4.15
107,-0.5,9.2
38,-0.5,2.5
6,-0.5,0.2
48,-0.5,4.1134
80,-0.5,4.5
68,-0.5,4.2
75,-0.5,9.3
84,-0.5,9.4
68,-0.5,5.5
45,-0.5,3.5
75,-0.5,10
92,-0.5,6
49,-0.5,2
38,-0.5,3
59,-0.5,9
43,-0.5,3
67,-0.5,6
15,-0.5,1
68,-0.5,9
75,-0.5,9
62,-0.5,4.113617435
66,-0.5,5
64,-0.5,6
53,-0.5,6
51,-0.5,7
73,-0.5,4.1665
56,-0.5,4.12039
95,-0.5,10
59,-0.5,5
67,-0.5,4.05
65,-0.5,4.1
56,-0.5,4.117
92,-0.5,5.5
55,-0.5,4.09
55,-0.5,4.148
3078,-0.5,4.5
69,-0.5,8
58,-0.5,4.114
44,-0.5,4.11221
94,-0.5,9.5
57,-0.5,4.11356507
48,-0.5,3
51,-0.5,2.9
54,-0.5,6.7
82,-0.5,4.11
46,-0.5,5
58,-0.5,2.5
69,-0.5,6
60,-0.5,3
77,-0.5,6
64,-0.5,4.1085
47,-0.5,4.115
44,-0.5,2
46,-0.5,4.114
52,-0.5,4
50,-0.5,4.115
49,-0.5,4.113521
74,-0.5,4.08502
59,-0.5,4.15
38,-0.5,1
69,-0.5,4.1
58,-0.5,4.12
88,-0.5,5
52,-0.5,9
49,-0.5,4
59,-0.5,4.114
80,-0.5,4.2
68,-0.5,4
62,-0.5,4.2
52,-0.5,4.15
58,-0.5,5
108,-0.5,10
59,-0.5,3.5
114,-0.5,10
42,-0.5,4.8
74,-0.5,4.134
93,-0.5,7.5
69,-0.5,3
67,-0.5,3.5
60,-0.5,8.5
56,-0.5,4.086
43,-0.5,4.1
45,-0.5,4.05
49,-0.5,4
63,-0.5,5.5
69,-0.5,8.1
74,-0.5,4.15
97,-0.5,5
67,-0.5,4.1
90,-0.5,8
50,-0.5,2.5
36,-0.5,2
57,-0.5,3.9
56,-0.5,2.05
61,-0.5,4.1285216
49,-0.5,2.1
73,-0.5,4.14
90,-0.5,7
46,-0.5,2.14
47,-0.5,4.086
57,-0.5,4.17
67,-0.5,3.5
6,-0.5,1
78,-0.5,3
74,-0.5,9
62,-0.5,4.1
129,-0.5,9
65,-0.5,4.07
61,-0.5,4.111
67,-0.5,7
71,-0.5,7.9
52,-0.5,5
78,-0.5,9
81,-0.5,4.11226
51,-0.5,4.5
37,-0.5,2
67,-0.5,5
62,-0.5,9
56,-0.5,4
70,-0.5,5
50,-0.5,4.8
57,-0.5,4.1134
63,-0.5,4.099
67,-0.5,5
62,-0.5,4.12
43,-0.5,4.11353
45,-0.5,4.11
60,-0.5,4.1
63,-0.5,6
53,-0.5,4.125
53,-0.5,4.9
56,-0.5,5
70,-0.5,5.5
56,-0.5,4
58,-0.5,4.16
60,-0.5,4.3
45,-0.5,4
75,-0.5,10
72,-0.5,5
66,-0.5,4.19
55,-0.5,4.048933729
59,-0.5,5
4005,-0.5,3
52,-0.5,5.5
