runtime,in01,in02
79,-0.5,10
61,-0.5,2.8968
35,-0.5,2.5
67,-0.5,10
48,-0.5,3
60,-0.5,5
42,-0.5,3
78,-0.5,4
67,-0.5,6
45,-0.5,4.75
47,-0.5,2.87
42,-0.5,2.8993901
35,-0.5,2.5
87,-0.5,6
46,-0.5,2.88
45,-0.5,4.07
56,-0.5,2.89735
45,-0.5,2.899499
51,-0.5,2.882
62,-0.5,5
34,-0.5,2
37,-0.5,2
87,-0.5,7
95,-0.5,8
76,-0.5,9
40,-0.5,2.8
56,-0.5,5
47,-0.5,4.8
99,-0.5,10
37,-0.5,3
44,-0.5,2
66,-0.5,6
69,-0.5,3
40,-1,4
83,-0.5,10
49,-0.5,2.8
49,-0.5,2.899
59,-0.5,4
44,-0.5,2.899
52,-0.5,2.8969
45,-0.5,2.79
82,-0.5,3
39,-0.5,4.9
40,-0.5,2.88
47,-0.5,2.896
47,-0.5,2.91
56,-0.5,2.97
48,-0.5,2.9
76,-0.5,8.8
58,-0.5,2.5552
47,-0.5,4.16
57,-0.5,2.8926
37,-0.5,2.8
73,-0.5,10
44,-0.5,2.6
61,-0.5,5
54,-0.5,2.89738
43,-0.5,2.899499
55,-0.5,5
61,-0.5,2.9
44,-0.5,2.8
57,-0.5,6.9
54,-0.5,2.88
48,-0.5,2.6
45,-0.5,2.11
92,-0.5,9
45,-0.5,2
42,-0.5,2.5
89,-0.5,6
42,-0.5,2.86
50,-0.5,2.75
92,-0.5,8
48,-0.5,2.5
63,-0.5,5
42,-0.5,2.89652
41,-0.5,2.8
49,-0.5,2.89696
45,-0.5,2.89
39,-0.5,2.7
64,-0.5,2.89686
52,-0.5,2.9
54,-0.5,3.02
67,-0.5,4
41,-0.5,4.17
46,-0.5,2
57,-0.5,2.4
71,-0.5,8
44,-0.5,2.897
54,-0.5,2.82
71,-0.5,9
51,-0.5,4
44,-0.5,5
46,-0.5,2.91
40,-0.5,2.5
91,-0.5,7
51,-0.5,2.98
49,-0.5,2.915
57,-0.5,5.5
74,-0.5,6
48,-0.5,4
44,-0.5,3
47,-0.5,2.6
58,-0.5,2.8967
40,-0.5,2.75
47,-0.5,3
57,-0.5,4.5
98,-0.5,5
67,-0.5,2.88
2714,-0.5,2.9
56,-0.5,3
84,-0.5,2.896
53,-0.5,2.85
46,-0.5,2.5
57,-0.5,2.5
50,-0.5,3
59,-0.5,3.2
77,-0.5,5.5
38,-0.5,2.896502
64,-0.5,9.6
46,-0.5,2.898
51,-0.5,3.6
53,-0.5,3.92
73,-0.5,2.85
41,-0.5,2.81
38,-0.5,2.75
72,-0.5,9
74,-0.5,9.5
40,-0.5,4.8
44,-0.5,2.91
89,-0.5,8
2901,-0.5,8
33,-0.5,2
33,-0.5,3
50,-0.5,2.875
60,-0.5,3.4
55,-0.5,3
104,-0.5,9
45,-0.5,2.7
34,-0.5,2
47,-0.5,2.96
44,-0.5,2.9
108,-0.5,10
46,-0.5,4
88,-0.5,10
51,-0.5,3.2
38,-0.5,4
59,-0.5,2.78
52,-0.5,2.9
56,-0.5,2.8981108
75,-0.5,9
58,-0.5,4.5
66,-0.5,5.5
38,-0.5,2.8
54,-0.5,4.5
60,-0.5,3
81,-0.5,8
63,-0.5,2.8962
48,-0.5,3
37,-0.5,2
80,-0.5,7
67,-0.5,5
60,-0.5,2.8944
57,-0.5,2.9
46,-0.5,4
40,-0.5,2.5
32,-0.5,2
117,-0.5,10
53,-0.5,2.8917
44,-0.5,2.8993901
102,-0.5,8
49,-0.5,2.7
30,-0.5,2
81,-0.5,5
74,-0.5,7
66,-0.5,2.93
64,-0.5,6
74,-0.5,10
48,-0.5,2.9
64,-0.5,9.6
68,-0.5,3.41
81,-0.5,3.47
41,-0.5,2.896903
59,-0.5,2.903
47,-0.5,5.6
57,-0.5,7
43,-0.5,2
54,-0.5,2.01
70,-0.5,5
