runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19,in20,in21,in22,in23,in24,in25,in26,in27,in28,in29,in30
4352,38,4,300,0.15,-0.15,5,80,0.15,-0.15,1,1,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
4700,38,4,300,0.2,-0.2,5,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.542,2.542,-0.2,0.2,0.05,10000000,1000000
35539,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.5,0.5,4.023,4.04,-0.2,0.2,0.05,10000000,1000000
8189,38.8,2.5,300,0.2,-0.2,5,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.02,10000000,1000000
5015,38,4,300,0.3,-0.3,5,80,0.3,-0.3,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.584,2.586,-0.2,0.2,0.05,10000000,1000000
1,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.25,0.25,3.402,3.41,-0.2,0.2,0.05,10000000,1000000
5975,38,4,300,0.2,-0.2,3,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
4633,38,4,300,0.2,-0.2,5,80,0.2,-0.2,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.584,2.586,-0.2,0.2,0.05,10000000,1000000
4838,38,4,300,0.45,-0.45,5,80,0.45,-0.45,1,1,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
4547,38,4,300,0.2,-0.2,5,80,0.2,-0.2,1,2.5,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.601,2.608,-0.2,0.2,0.05,10000000,1000000
