runtime,Airfoil,Mach_Number,Reynolds_Number,TOL,Total_Iteration,IVISC,CFL_Number
238,A07,0.02,500000,0.000001,3000,3,1
407598,A04,0.75,3000000,0.000001,3000,3,1
512537,A01,0.02941,500000,0.000001,1000000,30,4
368803,A07,0.75,3000000,0.000001,3000,3,1
407550,A07,0.75,3000000,0.000001,3000,3,1
936,A01,0.5,500000,0.000001,5000,3,1
368779,A08,0.75,3000000,0.000001,3000,3,1
796,A12,0.02,500000,0.000001,3000,3,1
368843,A04,0.75,3000000,0.000001,3000,3,1
625,A03,0.03,500000,0.000001,3000,3,1
12583,A02,0.02647059,5000000,0.000001,5000,3,1
597,A04,0.2,3000000,0.000001,3000,3,1
