runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10
47,5,1.5,0.5,70,800,PO,10,24,No,Yes
22,100,1.5,100,70,400,PO,14,12,No,Yes
15,5,1.5,0.5,70,800,PO,1,24,No,Yes
15,24,1,0.5,70,100,PO,1,24,No,Yes
23,5,1.5,0.5,70,800,PO,10,24,No,Yes
17,20,0.1,1,70,400,PO,3,8,No,Yes
20,5,1.5,0.5,70,400,PO,14,12,No,Yes
29,5,1.5,0.5,70,800,PO,7,24,No,Yes
41,5,1.5,0.5,70,400,PO,14,12,No,Yes
12,5,1.5,0.5,70,800,PO,3,24,No,Yes
21,5,1.5,0.5,70,800,PO,7,24,No,Yes
38,10,4,3,70,800,PO,7,24,No,Yes
20,20,3,0.5,70,800,PO,3,12,No,Yes
48,5,1.5,0.5,70,800,PO,7,24,No,Yes
25,5,1.5,0.5,70,800,PO,7,24,No,Yes
20,1,0.5,0.5,70,800,PO,10,8,No,Yes
29,1,1,0.5,70,100,PO,10,8,No,Yes
24,5,1.5,0.5,70,400,PO,14,12,No,Yes
21,5,1.5,0.5,70,400,PO,14,12,No,Yes
22,1,0.7,0.5,70,100,PO,10,8,No,Yes
21,5,1.5,0.5,70,800,PO,3,24,No,Yes
22,2,0.5,0.5,70,100,PO,10,8,No,Yes
28,1,0.5,0.5,70,500,PO,15,8,No,Yes
23,5,1.5,0.5,70,800,PO,3,24,No,Yes
20,0.5,0.3,0.5,70,100,PO,8,10,No,Yes
70,5,1.5,0.5,70,400,PO,14,12,No,Yes
21,5,1.5,0.5,70,800,PO,7,24,No,Yes
23,5,1.5,0.5,70,800,PO,7,24,No,Yes
20,5,1.5,0.5,70,800,PO,7,24,No,Yes
19,5,1.5,0.5,70,800,PO,7,24,No,Yes
109,5,1.5,0.5,70,800,PO,3,24,Yes,Yes
21,5,1.5,0.5,70,400,PO,14,12,No,Yes
22,5,1.5,0.5,70,400,PO,14,12,No,Yes
25,5,1.5,0.5,70,800,PO,7,24,No,Yes
16,1,0.05,0.5,70,50,PO,10,8,No,Yes
25,5,1.5,100,70,400,PO,14,12,No,Yes
51,5,1.5,0.5,70,400,PO,14,12,No,Yes
36,0.3,0.5,0.5,70,100,PO,10,8,No,Yes
14,12,0.5,0.5,70,100,PO,1,24,No,Yes
21,1,0.5,0.5,70,100,PO,10,8,No,Yes
41,5,1.5,0.5,70,400,PO,14,12,No,Yes
21,5,1.5,0.5,70,800,PO,7,24,No,Yes
22,5,1.5,0.5,70,400,PO,14,12,No,Yes
20,1,0.3,0.5,70,100,PO,10,8,No,Yes
19,1,0.25,0.5,70,50,PO,10,8,No,Yes
23,1,0.6,0.5,70,100,PO,10,8,No,Yes
20,5,1.5,0.5,70,800,PO,7,24,No,Yes
27,5,1.5,0.4,70,800,PO,4,24,No,Yes
27,5,1.5,0.5,70,800,PO,7,24,No,Yes
19,5,1.5,0.5,70,800,PO,7,24,No,Yes
31,5,1.5,0.5,70,800,PO,10,24,No,Yes
20,5,1.5,0.5,70,800,PO,7,24,No,Yes
17,100,0.5,0.5,70,50,PO,10,8,No,Yes
21,5,1.5,0.5,70,400,PO,14,12,No,Yes
21,5,1.5,0.5,70,400,PO,14,12,No,Yes
17,5,1.5,0.5,70,800,PO,3,24,No,Yes
42,5,1.5,0.5,70,400,PO,14,12,No,Yes
24,5,1.5,0.5,70,800,PO,3,24,No,Yes
20,5,1.5,0.5,70,800,PO,10,24,No,Yes
73,5,1.5,0.5,70,400,PO,14,24,No,Yes
571,5,1.5,0.5,70,400,PO,14,12,No,Yes
21,5,1.5,0.5,70,800,PO,1,24,No,Yes
373,1,35,0.5,70,50,PO,10,8,No,Yes
21,24,1,1,70,100,PO,1,24,No,Yes
34,5,1.5,0.5,70,400,PO,14,12,No,Yes
58,5,1.5,0.5,70,800,PO,3,24,Yes,Yes
12,5,1.5,0.5,70,800,PO,3,24,No,Yes
15,12,0.5,0.5,70,50,PO,1,24,No,Yes
840,5,1.5,0.5,70,800,PO,3,24,No,Yes
21,1,0.5,0.5,70,100,PO,10,8,No,Yes
24,5,1.5,0.5,70,800,PO,3,24,No,Yes
24,5,1.5,0.5,70,800,PO,7,24,No,Yes
19,2,0.7,0.5,70,100,PO,10,8,No,Yes
18,5,1.5,0.5,70,800,PO,7,24,No,Yes
24,5,1.5,0.5,70,800,PO,7,24,No,Yes
22,1,0.5,0.5,70,25,PO,10,8,No,Yes
174,5,1.5,0.4,70,800,PO,50,24,No,No
22,5,1.5,0.5,70,800,PO,7,24,No,Yes
33,5,1.5,0.5,70,800,PO,7,24,No,Yes
43,5,1.5,0.5,70,800,PO,7,24,No,Yes
52,5,1.5,0.5,70,800,PO,3,24,Yes,Yes
38,5,1.5,0.5,70,800,PO,7,24,No,Yes
25,5,1.5,0.5,70,400,PO,20,12,No,Yes
126,5,1.5,0.5,70,800,PO,7,24,No,Yes
20,5,1.5,0.5,70,800,PO,7,24,No,Yes
22,5,1.5,0.5,70,400,PO,14,12,No,Yes
19,5,1.5,0.5,70,400,PO,14,12,No,Yes
49,50,2,1,70,800,PO,3,24,Yes,Yes
31,5,1.5,0.5,70,800,PO,7,24,No,Yes
15,5,1.5,0.5,70,800,PO,3,24,No,Yes
20,5,1.5,0.5,70,400,PO,14,12,No,Yes
26,5,1.5,0.5,70,400,PO,14,12,No,Yes
28,5,1.5,0.5,70,800,PO,7,24,No,Yes
18,5,1.5,0.5,70,800,PO,7,24,No,Yes
19,1,0.3,0.5,70,100,PO,10,8,No,Yes
26,5,1.5,0.5,70,400,PO,14,24,No,Yes
30,5,1.5,0.5,70,800,PO,7,24,No,Yes
18,5,1.5,0.5,70,800,PO,3,24,No,Yes
56,15,1,1,70,800,PO,2,24,Yes,Yes
36,5,1.5,0.5,70,400,PO,40,4,No,Yes
17,5,1.5,0.5,70,800,PO,7,24,No,Yes
664,5,1.5,0.5,70,800,PO,7,24,No,Yes
23,5,1.5,0.5,70,400,PO,20,12,No,Yes
19,5,1.5,0.5,70,800,PO,3,24,No,Yes
17,2,0.5,0.5,70,100,PO,10,8,No,Yes
23,1,0.7,0.5,70,100,PO,10,8,No,Yes
47,5,1.5,0.5,70,800,PO,7,24,No,Yes
30,1,1.5,0.5,70,800,PO,8,24,No,Yes
24,5,1.5,0.5,70,800,PO,3,24,No,Yes
16,5,1.5,0.5,70,400,PO,10,12,No,Yes
661,5,1.5,0.5,70,400,PO,14,12,No,Yes
40,50,2,1,70,800,PO,1,24,Yes,Yes
117,5,1.5,0.5,70,400,PO,14,24,No,Yes
20,2,0.5,0.5,70,50,PO,10,8,No,Yes
19,1,0.5,0.5,70,50,PO,10,8,No,Yes
15,24,1,0.5,70,100,PO,1,24,No,Yes
22,5,1.5,0.5,70,400,PO,14,12,No,Yes
22,4,1.5,0.5,50,400,PO,14,12,No,Yes
27,5,1.5,0.5,70,800,PO,3,24,No,Yes
22,5,1.5,0.5,70,400,PO,14,12,No,Yes
31,5,1.5,0.5,70,400,PO,14,12,No,Yes
16,1,0.005,0.5,70,50,PO,10,8,No,Yes
17,2,0.5,0.5,70,50,PO,10,8,No,Yes
21,1,0.5,0.5,70,500,PO,10,8,No,Yes
